"titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","Cheltuieli neeligibile","total_valoare_proiect"
"Cre?terea competitivit??ii  economice  SC Profil Import Export SRL prin achizi?ia de echipamente performante","SC Profil Import Export SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",71868,11699,54833,70282,208682
"ECO       IT-       EFICIENTA,       COMPETITIVITATE, ORGANIZARE                PRIN                TEHNOLOGIA INFORMATELOR","AVACO S.A.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",70822,15948,54643,31629,173042
"Cre?terea competitivit??ii   SC MAT  SA  Craiova,  prin cercet?ri experimentale �n vederea realiz?rii unui tractor de 80-85 CP","Societatea Comerciala MA?INI AGRICOLE SI TRACTOARE S A Craiova","Axa Prioritar? 2/ O 2.1.1: Proiecte de cercetare in  parteneriat  intre  universit??i/  institu?ii   de cercetare-dezvoltare si intreprinderi",68475,14025,97500,40150,220150
"PROMOVARE  SC  RENTA.K.   IN  CADRUL  UNUI T�RG   INTERNATIONAL,   UN   PAS   IMPORTANT SPRE INTERNA?IONALIZARE SI ACCESUL PE NOI PIE?E","SC RentA.K.","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",68408,11136,36680,29243,145467
"IMPLEMENTAREA    SISTEMULUI    DE    COMER? ELECTRONIC  ?I E-PAYMENT INTEGRAT LA  SC STUDENT TRAVEL ROM�NIA S.R.L.","STUDENT TRAVEL ROM�NIA S.R.L.","Axa  Prioritar?   3/  DMI   3.3   Dezvoltarea   e-economiei   3.3.2.   Sprijin   pentru   dezvoltarea sistemelor de comer? electronic ?i a altor solu?ii electronice pentru afaceri",67252,15144,35313,25110,142819
"Eficientizare prin utilizarea tehnologiilor informa?iilor","HELIOSCOMS.RL.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",66501,14975,20369,20005,121851
"Externaiizarea serviciilor de suport tehnic - modalitate de asigurare a eficien?ei sistemului informatic ?i Promovarea afacerilor �n mediul electronic","S.C. Advice Group Media S.R.L.","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",65661,10689,46717,23383,146450
"Modernizarea   infrastructurii   TIC   a   telecentrului   din comuna ?iculeni","Asocia?ia Tineretul din Siculeni","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",65448,14738,4220,16175,100582
"Dezvoltarea organiza?iei Filantropia prin conectarea la Internet broadband  ?i  achizi?ia  de  echipamente  IT  ?i software","FUNDA?IA Filantropia Timi?oara","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",65421,14732,4219,16031,100403
"Acces internet de tip broadband 3Mbps","EUROQUTP INTERNATIONAL S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",65233,14690,20007,21442,121371
"EXTINDEREA          SISTEMULUI         INFORMATIC INTEGRAT     ERP     (     ENTERPRISE     RESOURCE PLANNTNG)  LA  FIRMA   S.C  MATPLAST   SA  �N VEDEREA     CRE?TERII     PRODUCTIVITATE     SI COMPETITIVITATE     PE     PIA?A     INTERNA     SI EXTERNA","MATPLAST S.A.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",65199,14682,51394,31858,163134
"Sprijinirea �ntreprinderii AUTOLAND S.R.L. �n vederea conect?rii   la  Internet  broadband   si   achizi?ionarea  de echipamente conexe.","AUTOLAND S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",64640,14556,19819,28203,127219
"Cre?terea   competitivit??ii   PROIECT   BRA?OV   prin dezvoltarea infrastructurii IT &C","PROIECT BRA?OV S.A.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",63956,14402,19589,18610,116557
"PROMOVAREA         ACTIVIT??II         AGENTULUI ECONOMIC EURONET S.R.L. PRIN ORGANIZAREA A DOUA SEMINARII PE TEME DE SECURITATEA BUNURILOR ?I A PERSOANELOR","S.C. EURONET S.R.L.","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",63640,10360,31714,36086,141800
"Super-Ferestre! Competitivitate sporit? prin modernizarea dot?rii SC SERVINT SRL pentru produc?ia de termopane PVC","SC SERVINT SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 1.075.000 lei pentru investi?ii pentru IMM",63210,10290,31500,19950,124950
"Mai aproape de tine","Funda?ia Solidaritate ?i Speran?? Filiala Boto?ani","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",63088,14207,4069,15459,96823
"Asigurarea competitivit??ii  la SC Bautrust  SRL Cluj-Napoca prin accesul pe noi pie?e ?i interna?ionalizare","SC BAUTRUST SRL","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",62909,10241,31350,20450,124950
"Cre?terea  competitivit??ii   economice   prin   dezvoltarea infrastructurii TI&C a Cheile Gradistei S.R.L.","CHEILE GRADISTEI S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",62718,14123,19210,18696,114747
"Accesul la internet si servicii conexe - un pas important pentru dezvoltarea firmei SC PACO PROD SERV SRL","PACO PROD SERV S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",62288,14027,19079,21064,116458
"O lume �ntr-un click","Asocia?ia Casiana","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",61248,13792,3949,19399,98388
"Cre?terea  competitivit??ii   economice   prin   dezvoltarea infrastructurii TI&C a Z-ZONE TERM S.R.L.","Z-ZONE TERM S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",61022,13741,18691,18771,112225
"CRE?TEREA COMPETITIVIT??II ECONOMICE IN CADRUL S.C. PRO HIDRO INSTAL S.R.L. BAC?U PRIN IMPLEMENTAREA DE SOLU?II SOFTWARE PENTRU   DESIGN   SI   PRODUC?IE   IN   SCOPUL OPTIMIZ?RII        SI        CRE?TERE        EFICIENTEI ACTIVIT??ILOR    DESF??URATE    IN    CADRUL SOCIETATE","PRO HIDRO INSTAL S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",60865,13706,31959,25567,132098
"Competitivitate prin tehnologie","ASOCIA?IA de Dezvoltare Durabila a Jude?ului Tulcea","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",60658,13660,3911,24242,102471
"Cre?terea   Competitivit??ii   BIT   INVEST   S.RL   prin integrarea tehnologiilor societ??ii informa?ionale:CCBI","BIT INVEST S.R.L","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",60519,13628,22886,18593,115626
"Sus?inerea   activit??ilor   de   voluntariat   �n   domeniul tineretului �n municipiul Arad","ASOCIA?IA OFENSIVA TINERILOR","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",60405,13603,7937,15570,97515
"Sus?inerea      utiliz?rii      tehnologiei      informa?iei      si comunica?iilor in domeniul tineretului","ASOCIA?IA MILLENNIUM CENTER","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",60359,13592,7934,15558,97444
"Internetul, instrument pentru educa?ia copiilor si tinerilor","ORGANIZA?IA NA?IONALA CERCETASE ROM�NIEI (ONCR) FILIALA BRA?OV ""VIRGIL ONITIU""","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",60235,13564,7284,15608,96692
"Cre?terea capacit??ii opera?ionale a funda?iei Romtens in vederea derul?rii de programe de promovarea s?n?t??ii la locul de munca","Funda?ia Romtens","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",59959,13502,3866,25312,102640
"IMPLEMENTAREA ?I CERTIFICAREA SISTEMULUI DE MAMAGEMENT AL MEDIULUI ISO 14001, A STANDARDELOR   DE   CALITATE    ISO   9001,   ?I CERTIFICAREA   PRODUSELOR,   PROCESELOR   ?I SERVICIILOR LA SC ARFUNSTAL SRL","SC. ARFUNSTAL SRL","Axa    Prioritar?    1/    DMI    1.1.2.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM7 D -Sprijin    pentru    implementarea    standardelor interna?ionale",59608,9704,46208,24210,139730
"Promovarea activit??ii agentului de asigurare Vision Life prin utilizarea unor instrumente moderne de marketing","S.C. VISION LIFE - AGENT DE ASIGURARE S.R.L.","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",59036,9611,42866,21187,132700
"Cre?terea   competitivit??ii    economice   prin   acces   la internet broadband si dezvoltare infrastructura TIC","IMCOP CALCAR S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",58492,13172,18721,17716,108100
"Eco-solu?ii de cre?tere a accesului locuitorilor din mediul rural la tehnologia informa?iilor ?i comunica?iilor","ASOCIA?IA Eco-Solutions","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",58065,13076,7604,18698,97444
"CRE?TEREA    CAPACIT??II    OPERA?IONALE    A ASOCIA?IEI    METROPOLITANE    BRA?OV    PRIN DEZVOLTAREA INFRASTRUCTURII TEHNOLOGIEI INFORMA?IONALE SI DE COMUNICA?II","ASOCIA?IA METROPOLITANA PENTRU DEZVOLTARE DURABILA BRA?OV","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",57882,13035,3733,14183,88833
"Achizi?ia de echipamente ?i servicii pentru �mbun?t??irea infrastructurii TIC ?i acesul la internet broadband a firmei","Win Impex S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",57748,13004,17688,16804,105244
"Competitivitate economic? ?i performan?? prin utilizarea tehnologiei informatice ?i comunica?iilor","ADA & ROBY CONSULTING","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",57321,12908,17557,17060,104846
"Facilitarea accesului  membrilor voluntari  ai Funda?iei Alegro la Internet band? larg ?i la serviciile conexe","FUNDA?IA ALEGRO","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",56807,12792,3692,14159,87450
"Implementarea Sistemului de Management al   Calit??ii conform ISO 9001 : 2000","SC Global Remote Services SRL","Axa    Prioritar?    1/    DMI    1.1.2.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM7 D -Sprijin    pentru    implementarea    standardelor interna?ionale",56008,9118,43417,20623,129165
"Facilitarea   accesului   membrilor   asocia?iei   Grupul   de antropologie comunica?ional? la internet �n band? larg? ?i la serviciile  conexe, �n vederea sus?inerii  acestora �n realizarea temelor de cercetare antropologic?","Grupul de antropologie comunica?ional?","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",55321,12458,3574,27355,98708
"Realizarea unei infrastructuri TIC cu serviciile aferente ale Asocia?iei Uniunea Composesoratelor Liban pentru �mbun?t??irea   administrativ?   ?i    facilitarea   accesului publicului la informa?ii.","Asocia?ia �Uniunea Composesoratelor Liban""","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",55317,12457,3567,15681,87022
"�mbun?t??irea    accesului    la    internet    broadband    si modernizarea cu echipamente TIC, un prim pas pentru dezvoltarea pe pia?a specifica locala la Junior Group S.R.L.","JUNIOR GROUP S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",55144,12418,16891,26518,110971
"Consultan?? la standarde europene-Dezvoltare durabil?, componenta 1 Dot?ri echipamente TIC ?i Internet","Agen?ia Rom�n? de Consultan??","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",54645,12305,3524,26098,96572
"MFO-CLUB","FUNDA?IA Lumini si Speran?e","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",54513,12276,3727,14811,85327
"Dezvoltare ?i modernizare structur? informatic?","Elektroweigl S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",53175,11975,16287,18346,99783
"CRE?TEREA COMPETITIVIT??II PROFITON S.R.L. prin conectarea la internet in band? larg?","PROFITON S.RL.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",52501,11823,16081,15277,95681
"DEZVOLTAREA   ASOCIA?IEI   REGIONLINE   PPJN CONSOLIDAREA INFRASTRUCTURII TIC","ASOCIA?IA REGIOLINE","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",52030,11717,3355,12749,79851
"Consolidarea    infrastructurii    IT    in    cadrul    firmei TERMOPLAST PRODUC?TOR DE TIMPLARII","TERMOPLAST PRODUC?TOR DE TIMPLARE S.RL.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",51329,11559,15722,15091,93701
"Sprijin TI pentru Unitatea de plata AM POS CCE in vederea bunei gestionari financiare a proiectelor derulate prin POS CCE","AM POS CCE","DMI 5.2 - Sprijin pentru comunicare, evaluare ?i TI",51226,17075,0,16391,84692
"CONSOLIDAREA SI EXTINDEREA SEGMENTULUI DE   PIA?A   AL   COMPANIEI   PPJN   CRE?TEREA CALIT??II   SI  DURABILITATE  PRODUSELOR  SI SERVICELOR","EURO PROJECT CONSULTING S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",49865,11229,26183,20947,108225
"Modernizarea   infrastructurii   IT&C   a   SC   Exelectro Engineering SA","EXELECTRO ENGINEERING S.A","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",49836,11223,15265,20571,96894
"Consolidarea ?i dezvoltarea infrastructurii de tehnologie a informa?iei �n cadrul Materom S.R.L.","MATEROM S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",49005,11035,19017,20171,99229
"CALITATE ?I EFICIEN??","SC GET PHOENIX SRL","Axa    Prioritar?    1/    DMI    1.1.1.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ A2-Sprijin financiar de p�n? la 920.000 lei pentru investi?ii pentru IMM",48892,7959,32913,19196,108960
"Achizi?ii pentru imbunatatirea infrastructurii informatice si de comunica?ii","NETWAVE S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",48852,11001,14963,14215,89031
"Cre?terea competitivit??ii  prin accesul  pe noi piete si interna?ionalizare la SC SIGMA ELECTRONIC SRL","SC SIGMA ELECTRONIC SRL","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",48762,7938,24300,15985,96985
"FLUXCOM:     IMPLEMENTAREA    UNEI    SOLU?II SOFTWARE MODERNE �N VEDEREA GESTION?RII COMENZILOR ?I MONITORIZ?RII FLUXULUI DE PRODUC?ffi                PENTRU                CRE?TEREA COMPETITIVITATE SC FE3REX CO SRL","FIBREX CO S.R.L.","DMI 3.3 Dezvoltarea e-economiei 3.3.1. Sprijin pentru   implementarea   sistemelor  informatice integrate ?i a altor aplica?ii electronice pentru managementul afacerilor",48297,10876,36327,23420,118920
"Competitivitate economic? sporit? la RIMAT CONS SRL Cehu    Silvaniei     prin    accesul     pe    noi     pie?e     ?i interna?ionalizare","SC RIMAT CONS SRL","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",47754,7774,23798,19087,98413
"Realizarea unei infrastructuri TIC cu acces broadband la internet in vederea cre?terii competitivit??ii economice la nivelul Medica Farmimpex S.RL.","Medica Farmimpex S.RL.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",47649,10730,14595,16853,89827
"Muzeu pe internet","ASOCIA?IA CULTURAL? NICOLAEIORGA","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",47478,10692,3063,11640,72873
"Interna?ionalizarea    societ??ii,    identificarea    de    noi furnizori   externi   prin   participare   misiune   economic? China","ELMET CONSTRUCT SRL","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",47183,7681,36576,17374,108814
"MMT - Conexiune cu viitorul","METRO MEDIA TRANSILVANIA STUDII SOCIALE SONDAJE MARKETING SI PUBLICITATE S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",46556,10484,14260,16879,88179
"Tehnologia informa?iei motorul cre?terii competititvitatii economice","ASOCIA?IA �NAPOI LA MUNCA","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",45953,10348,4113,11479,71894
"Conectarea funda?iei Civitas la internet prin conexiune broadband    si    consolidarea   infrastructurii    TIC   prin achizi?ionarea echipamentelor TIC","FUNDA?IA Civitas pentru societatea civila","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",45663,10283,3007,25376,84329
"Educa?ie ?i implicare civic? prin cre?terea accesului la informa?ie �n domeniul protec?iei consumatorilor","ASOCIA?IA NA?IONAL? PENTRU PROTEC?IA CONSUMATORILOR ?I PROMOVAREA PROGRAMELOR ?I STRATEGIILOR DIN ROM�NIA","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",45646,10279,2943,37273,96142
"Conect IT - dezvoltarea competen?elor IT&C �n r�ndul tinerilor","Organiza?ia Tinerilor cu Ini?iativa","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",45277,10196,4520,11684,71677
"Internetul un pas spre dezvoltare","N&C CONSULTING S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",45152,10168,13830,13139,82289
"Implementarea  cre?terii   sistemului  de  management  al calit??ii","SC MOBILA SA","Axa    Prioritar?    1/    DMI    1.1.2.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM7 D -Sprijin    pentru    implementarea    standardelor interna?ionale",45150,7350,35000,16625,104125
"Cre?terea competitivit??ii MAT Craiova prin asimilarea unui agregat multifunc?ional de lucrat solul �n expoata?ii agricole","Societatea Comerciala MA?INI AGRICOLE SI TRACTOARE S A Craiova","Axa Prioritar? 2/ O 2.1.1: Proiecte de cercetare in  parteneriat  intre  universit??i/  institu?ii   de cercetare-dezvoltare si intreprinderi",44613,9138,61250,25420,140420
"�mbun?t??irea    utiliz?rii    tehnologiei     informa?iei     ?i comunica?iei la ERG TERMROM SA Gala?i.","ERG TERMROM SA.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",44559,10034,31933,75961,162487
"Broadband  Communication Network and  latest IT&C infrastructure for TOTAL SERVICE GROUP S.R.L.","TOTAL SERVICE GROUP S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",44179,9949,13532,13748,81408
"M?suri   de   dezvoltare   a   capacit??ii   organizatorice   a organiza?iei studen?ilor din Arad","Organiza?ia Studen?ilor din Arad","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",43456,9786,5151,13284,71677
"Competitivitate   economic?   prin   utilizarea  tehnologiei informatice ?i comunica?iilor la TOP TECH S.R.L","TOP TECH S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",43195,9727,13231,12569,78722
"Sprijinirea accesului la internet si la serviciile conexe","LEMNCONFEX S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",43065,9698,13603,12742,79108
"Dezvoltarea economica a ITPS S.R.L. prin conectarea la internet si servicii conexe","ITPS S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",42962,9675,13159,13495,79290
"Prin Internet spre lumea-ntreag?","ASOCIA?IA FORUM ART","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",42617,9597,2748,13364,68326
"Cre?terea   gradului   de   informatizare   a   opera?iunilor curente ale PRODUC?IE MUL?I NR S.R.L.","PRODUC?IE MUL?I NR S.RL.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",42577,9588,13041,12389,77595
"ASIGURAREA    CAPACIT??ILOR    T.I.C    PENTRU SANA S.RL","SANA S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",42544,9581,13031,40089,105245
"Competitivitate     prin     accesul     pe     noi     piete     ?i interna?ionalizare la SC Adalin SRL","SC ADALIN SRL","Axa    Prioritar?    1/    DMI    1.1.3.    Investi?ii productive ?i preg?tirea pentru competi?ia de pia?? a �ntreprinderilor, �n special IMM/ C -Sprijin    pentru    accesul    pe    noi    pie?e    ?i interna?ionalizare",42140,6860,21000,0,70000
"O funda?ie de beton pentru societatea informa?ionala","TARR CONST S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",41936,9444,12845,33669,97894
"Dotare IT pentru dezvoltarea activit??ii","EXCLUSIV CATERING S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",41727,9396,12781,12142,76046
"Dezvoltare durabil? ?i servicii la standarde europene prin tehnologii de ultim? genera?ie","Magic Solutions S.R.L.","Axa Prioritar? 3/ DMI 3.1 Sus?inerea utiliz?rii tehnologiei        informa?iei        3.1.1.Sprijinirea accesului la Internet ?i la serviciile conexe",41416,9326,13503,12207,76452
