ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
666,Landkreis Grafschaft Bentheim,Technologietransfer im Landkreis Grafschaft Bentheim,2008,,"300,000.00",
667,Landkreis Hameln-Pyrmont,"Förderung produktiver Investitionen in kleinen und mittleren Unt
ernehmen im Gebiet der REK plus",2009,,"460,000.00",
668,Landkreis Hameln-Pyrmont,"Förderung produktiver Investitionen in kleinen und mittleren
Unternehmen im Gebiet der REK",2007,,"920,000.00",
669,Landkreis Hameln-Pyrmont,Technologietransfer im Landkreis Hameln-Pyrmont,2008,,"235,620.00",
670,Landkreis Helmstedt,"Förderrichtlinie für kleine und mittlere Unternehmen (KMU) im La
ndkreis Helmstedt",2009,,"1,231,050.00",
671,Landkreis Helmstedt,"Förderrichtlinie für kleine und mittlere Unternehmen (KMU) im
Landkreis Helmstedt",2008,,"720,000.00",
672,Landkreis Hildesheim,Richtlinie zur Förderung von Investitionen in Unternehmen (speziell KMU) im Landkreis Hildesheim (IH-INVEST),2009,,"762,095.90",
676,Landkreis Hildesheim,"Richtlinie zur Förderung von Investitionen in Unternehmen
(speziell KMU) im Landkreis Hildesheim",2008,,"1,140,000.00",
677,Landkreis Holzminden,"Ausbau  des Weser-Radweges, Abschnitt Rühle - Döhme,",2008,2009,,"258,360.00"
678,Landkreis Holzminden,"Förderung produktiver Investitionen in kleinen und mittleren
Unternehmen im Gebiet der REK",2007,,"920,000.00",
679,Landkreis Holzminden,"Förderung produktiver Investitionen in Unternehmen im Gebiet der
Regionalen Entwicklungskooperation Weserbergland plus",2009,,"977,877.80",
680,Landkreis Holzminden,Wissens- und Technologietransfer,2008,,"86,496.00",
681,Landkreis Leer,Koordinierungsstelle Frauen und Beruf Ostfriesland,2007,,"155,000.00",
682,Landkreis Leer,Koordinierungsstelle Frauen und Beruf Ostfriesland,2008,,"149,421.34",
683,Landkreis Leer,"Richtlinie zur Förderung von Investitionen und investitionsvorbe
reitenden Maßnahmen kleiner und mittlerer Unternehmen (KMU)",2008,,"550,000.00",
684,Landkreis Leer,"Richtlinie zur Förderung von Investitionen und investitionsvorbe
reitenden Maßnahmen kleiner und mittlerer Unternehmen (KMU)",2009,,"800,000.00"
685,Landkreis Leer,Wissens- und Technologietransfer,2008,,"97,500.00"
686,Landkreis Nienburg,Technologietransfer im Landkreis Nienburg/Weser,2008,,"120,000.00"
687,Landkreis Nienburg/Weser,"Förderung produktiver Investitionen in kleinen und mittleren Unt
ernehmen im Gebiet der REK Weserbergland plus",2009,,"546,800.00"
688,Landkreis Nienburg/Weser,"Förderung produktiver Investitionen in kleinen und mittleren
Unternehmen im Gebiet REK Weserbergland",2007,,"893,750.00"
689,Landkreis Northeim,Richtlinie zur Förderung kleiner und mittlerer Unternehmen (KMU),2008,,"1,428,000.00"
690,Landkreis Northeim,Richtlinie zur Förderung kleiner und mittlerer Unternehmen (KMU),2009,,"714,000.00"
691,Landkreis Oldenburg,"Richtlinie zu Investitionszuschüsse und Zuschüsse zu Markt
erschließungsmaßnahmen",2008,,"600,000.00"
692,Landkreis Oldenburg,"Richtlinie zur Investitionszuschüsse und Zuschüsse zu Markt-
erschließungsmaßnahmen",2009,,"808,664.80"
693,Landkreis Osnabrück,"Grundsätze zur Förderung von Investitionen in Unternehmen im
Lan dkreis Osnabrück",2009,,"1,148,959.50"
694,Landkreis Osnabrück,"Grundsätze zur Förderung von Investitionen in Unternehmen im
Landkreis Osnabrück",2008,,"2,000,000.00"
695,Landkreis Osterode am Harz,Richtlinie - Förderung zur Entwicklung von Unternehmen,2009,,"1,250,973.78"
698,Landkreis Osterode am Harz,"Richtlinie ""Förderung zur Entwicklung von Unternehmen""",2007,,"1,200,000.00"
699,Landkreis Peine,"Förderung von arbeitsplatzschaffenden Investitionen in Unter-
nehmen (speziell KMU) im Landkreis Peine - KMU-Richtlinie -",2007,,"1,400,000.00"
700,Landkreis Peine,"Förderung von arbeitsplatzschaffenden Investitionen in Unternehm
en - speziell KMU - im Landkreis Peine",2009,,"1,301,100.00"
701,Landkreis Schaumburg,"Förderung produktiver Investitionen in kleinen und mittleren Unt
ernehmen im Gebiet der REK Weserbergland plus",2009,,"528,625.00"
702,Landkreis Schaumburg,"Förderung produktiver Investitionen in kleinen und mittleren
Unternehmen im Gebiet der REK Weserbergland",2007,,"940,000.00",
703,Landkreis Schaumburg,Natur erleben in den Bückebergen,2008,,"45,000.00",
704,Landkreis Schaumburg,Technologietransfer im Landkreis Schaumburg,2008,,"204,881.25",
705,Landkreis Vechta,"Businessplan zur Vorbereitung eines Clustermanagements der
Ernährungswirtschaft in der Metropolregion Bremen/Oldenburg",2008,,"105,000.00",
706,Landkreis Vechta,"Koordinierungsstelle ""Frauen und Wirtschaft""",2008,,"155,000.00",
707,Landkreis Vechta,Koordinierungsstelle Frauen und Wirtschaft Vechta,2007,2009,,"145,106.20"
708,Landkreis Vechta,"Richtlinie zur einzelbetrieblichen Förderung produktiver Investi
tionen kleiner und mittlerer Unternehmen (KMU)",2009,,"738,817.00",
709,Landkreis Vechta,"Richtlinie zur einzelbetrieblichen Förderung produktiver
Investitionen kleiner und mittlerer Unternehmen (KMU)",2007,,"800,000.00",
710,Landkreis Vechta,Technologietransfer im Landkreis Vechta,2008,,"300,000.00",
711,Landkreis Wesermarsch,"Förderung von produktiven Investitionen und Maßnahmen zur
Unters tützung der regionalen und lokalen Entwicklung",2009,,"828,576.31",
712,Landkreis Wesermarsch - Der Landrat -,"Förderung von produktiven Investitionen und Maßnahmen zur
Unter stützung der regionalen und lokalen Entwicklung",2007,,"1,000,000.00",
713,Landkreis Wittmund,"Richtlinie des Landkreises Wittmund zur Förderung von Investitio
nen und nicht-investiven Maßnahmen KMU",2009,,"261,000.00",
714,Landkreis Wittmund,"Richtlinie des Landkreises Wittmund zur Förderung von
Investitionen und nicht-investiven Maßnahmen KMU",2008,,"330,000.00",
715,Landkreis Wolfenbüttel,Förderung von Investitionen in Unternehmen (speziell KMU),2009,,"1,440,000.00",
716,Landkreis Wolfenbüttel,"Richtlinie - Förderung von Investitionen in Unternehmen (speziell
KMU)",2008,,"660,000.00",
717,"Ländliche Erwachsenenbildung in Niedersachsen e.V.
Beratungsbüro Hildesheim","""Koordinierungsstelle Frauen und Wirtschaft""",2008,,"142,695.96",
720,"Ländliche Erwachsenenbildung in Niedersachsen e.V.
Beratungsbüro Hildesheim",Koordinierungsstelle Frauen und Wirtschaft Hildesheim,2007,,"125,796.34",
721,Lanwermweyer Denzentrale Energisysteme,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
722,Laser Systems Hannover GmbH,Universal CTP-Belichter,2008,2009,,"113,100.00"
723,Laser Zentrum Hannover e.V,2. Erweiterungsbau des LZH,2007,,"3,526,200.00",
724,lavital Sport- & Wellness-Hotel,U. a. Erstellung eines Marketinaktivitäten-Plans,2008,,"10,000.00",
726,Leifert Induction GmbH,"Entwicklung einer induktiven Erwärmungseinheit zur Herstellung
von direkt verpackten Wurstwaren",2008,,"57,400.00",
727,Leto Kunststofftechnik GmbH & Co. KG Andreas Fritzsching,"Ausbau der Marktposition und Verbesserung der wirtschaftlichen E
rtragskraft",2009,,"4,800.00",
728,LINET Services GbR,"Unterstützung bei Präsentation und Verhandlungs- begleitung bei
der Beteiligungsfinanzierung",2007,2008,,"3,752.00"
729,Linnhoff & Henne GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,2007,2009,,"77,250.00"
730,Littwin GmbH & Co.KG,Entwicklung einer Kabelüberwachung gegen Kabelklau (KÜ-KK),2008,,"54,200.00",
731,Littwin GmbH & Co.KG,Erweiterung einer Betriebsstätte,2007,,"24,000.00",
732,Louis Wachenhausen GmbH,"Entwicklung eines Schaltventils für Schneidtische mit hoher
Taktfrequenz",2008,2008,,"15,086.18"
733,Love in Braunschweig GmbH,Entwicklung eines neuen Marketing- und Vertriebskonzeptes,2009,,"10,000.00",
734,LR Gebäudereinigung GmbH,"Entwicklung einer ganzheitlichen kosten- und qualitätsoptimierten
Dienstleistung in der Gebäudereinigung",2008,,"100,000.00",
735,LSB Logistik & Speditionsgesellschaft Braunschweig mbH,Etablierung des Vertriebscontrolling,2008,,"8,000.00",
736,Lubing Maschinenfabrik GmbH & Co. KG,Entwicklung einer Aktivnebelherstellung für Tierhaltungsbetriebe,2008,,"124,000.00",
737,Lutz Voß Elektroinstallationen,"Strukturierung und Ausrichtung des Unternehmens für die
Übernahm e durch einen Nachfolger",2009,,"2,800.00"
738,M & M Auto GmbH,"Herstellung der Beteiligungskapitalfähigkeit und der Eigenkapita
lfinanzierung",2008,,"7,032.80"
739,m&a messen & ausstellungen Rainer Timpe GmbH,"Umbau eines ehemaligen Hallenbades zum
Veranstaltungszentrum",2007,,"205,700.00"
761,M&D Flugzeugbau GmbH und Co. KG,"Entwicklung und Systemintegration eines luftfahrtzugelassenen
Jetantrieb für Segelflugzeuge und Fernerkundungsplattformen",2007,,"247,000.00"
778,M&M Automobile GmbH,Entwicklung einer neuen CD-Linie,2009,,"10,000.00"
783,M&S Armaturen GmbH,Erweiterung einer Betriebsstätte,2007,,"881,000.00"
740,Maeder u. Deipenau GmbH & Co. KG,"Erstellung und Umsetzung eines neuen Marketingkonzeptes zur
Verkaufs- & Imageförderung",2008,,"9,012.50"
743,Magrathea Informatik GmbH,"I.Klinik-Visualisierung und interaktive Steuerung von Klinik-
prozessen im akut-medizinischen Bereich",2008,,"150,000.00"
744,MAHOTEC GmbH,Betriebsverlagerung mit Erweiterung,2007,,"33,600.00"
745,Malereibetriebe Wilhelm Kreutze GmbH & Co. KG,Planerische und beratende Begleitung bei der Betriebsübergabe,2009,,"3,000.00"
746,Manfred Holtkamp Elektronik GmbH,"Planung und Durchführung der Unternehmensübergabe und -
bewertung",2008,,"8,000.00"
747,Manfred Kruse Kabelverlegung GmbH,Durchführung einer optimalen Nachfolge,2008,,"7,500.00"
748,"Maria Koers, Physikalische Therapie","Erarbeitung von Grundlagen für Kaufpreisverhandlungen;
Unternehmensbewertung",2008,,"10,000.00"
749,Marktwerbung Schostok GmbH,Vorbereitung der Unternehmensnachfolge,2009,,"4,000.00"
750,Martijn A. Postmus,Errichtung einer Betriebsstätte,2007,,"24,000.00"
751,Martin Christ Gefriertrocknungsanlagen GmbH,Betriebserweiterung durch Hallenanbau und Maschinenkauf,2007,,"544,000.00"
752,Martin Sprock GmbH,Erweiterung einer Betriebsstätte,2007,,"115,700.00",
753,Maschinenbau Dietrich GmbH,"Entwicklung und Umsetzung einer Marketing- und
Vertriebsstrategie",2008,2009,,"6,800.00"
754,Maschinenfabrik Rehnen GmbH,Ausweitung der Marktposition des Unternehmens,2008,2009,,"9,600.00"
755,Masemann & Messer GbR,Entwicklung einer Kommunikations- und Marketingstrategie,2008,2009,,"1,215.00"
756,Mathias Baumgart Dentallabor,"Fabrikation und logistische Aufarbeitung von zahntechnischen
Arbeitsabläufen mit kostengünstiger Fertigung im Schwerpunkt
CAD",2007,2009,,"49,986.76"
757,Matthias Lambrecht Werbetechnik,Erstellung eines Marketingkonzeptes,2008,2009,,"2,800.00"
758,"maxx-hausgeräte, Diek Sauder & Georg Suhrau GbR",Konzeptionelle Beratung zum Aufbau des eigenen Marketing,2009,,"8,000.00",
759,MBD GmbH,Erweiterung einer Betriebsstätte,2007,,"121,700.00",
760,MC Technologies GmbH,Erstellung und Beratung zur Umsetzung eines Marketingkonzepts,2008,2009,,"4,000.00"
768,Med-X-Press e. K.,"Herstellung der Beteiligungskapitalfähigkeit und der Eigen-
kapitalfinanzierung",2008,2008,,"9,650.00"
762,Medien Service Deutschland Verwaltungs GmbH,Verlagerung mit Erweiterung einer Betriebsstätte,2007,,"69,000.00",
763,Medienpresent GmbH,Errichtung einer neuen Betriebsstätte,2007,,"28,300.00",
764,Medizinische Hochschule Hannover,Erstellung eines GMP/MedizintechnikReinraumes,2009,,"995,000.00",
767,Medizinische Hochschule Hannover,Hannover Biomedical Research School (HBRS),2009,,"608,800.00",
769,Mega Bowling GmbH & Co. Bertriebs KG,Vorbereitung der Unternehmensübernahme,2009,,"10,000.00",
770,Melchior-Coffee GmbH,Unterstützung des Unternehmens beim marktseitigen Aufbau,2009,,"7,600.00",
771,Metallbau Leckelt GmbH,Erweiterung der Betriebsstätte,2007,,"58,200.00",
772,Metallbau Worthmann,Erweiterung einer Betriebsstätte,2008,,"252,000.00",
773,Metallveredelung Pentz & Gerdes GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,2007,,"369,900.00",
774,Metz - Regenanlagen GmbH & Co. KG,Konzepterstellung zur Unternehmensnachfolge,2008,,"7,300.00",
775,Meyer zu Hörste GmbH,Erarbeitung und Umsetzung eines komplexen Marketingkonzeptes,2008,,"3,400.00",
776,MGS - Maschinenbau GmbH,Erweiterung der Betriebsstätte,2007,,"50,800.00",
777,Mister Q Speisen & Getränke GmbH,Entwicklung und Umsetzung eines Marketingkonzeptes,2008,,"10,000.00",
779,Möbel Hesse GmbH,Neupositionierung des Unternehmens am Markt,2008,,"10,000.00",
780,Möbelzentrum Stöckheim,"Neudefinition der Position am Markt, Entwicklung zielgerichteter
Marketingkonzepte",2008,2008,,"3,600.00"
781,"Möllerke, Christoph Pflanzennett Vertriebsgesellschaft",Erarbeitung einer Marketingkonzeption,2009,2009,,"4,000.00"
782,Moormerland Schiffahrts GmbH & Co. KG,Entwicklung und Implementierung einer Marketingkonzep- tion,2008,2008,,"10,000.00"
784,mt microtool gmbh,"Entwicklung eines Systems für die Messung von Form,
Oberflächen- und Kantenqualität für Werkzeug-Schneidkanten,
Spanraum ,Garbsen",2008,,"47,000.00",
785,MTK Kolbe GmbH,Erweiterung einer Betriebsstätte,2007,,"130,500.00",
786,MTU Maintenance Hannover GmbH,"Entwicklung, Testung und Pilotbetrieb von High Tech Maintanance
Repair and Overhaul",2007,,"4,660,000.00",
787,Mügapro GmbH,Grafischer Neuaufbau der gesamten Kommunikationselemente,2008,,"7,000.00",
788,Mügapro GmbH Herr Thomas Wilmes,Konzeptioneller Neuaufbau des gesamten Markenauftritts,2008,,"6,600.00",
789,MvB-Consulting GmbH,"Optimierung der Kundenanprache durch gezielte
Marketingmaßnahmen Neukundengewinnung",2008,2008,,"10,000.00"
792,Nabu Schöppenstedt e. V.,Anlage eines Naturpfades in der Stadt Schöppenstedt,2009,,"5,000.00",
793,Naturpark Dümmer,Optimierung des Naturerlebnisangebots am Dümmer See,2008,,"63,292.00",
794,Naturpark Münden e.V.,"Erstellung von Informationsmaterial zum Thema Naturpark - Natur
erleben",2007,2008,,"21,183.09"
795,Naturpark Münden e.V.,Natur erleben und Wandern entlang des Frau-Holle-Pfades,2008,,"114,835.00",
796,Naturpark Solling-Vogler,Graslandpfade Hellental und Holzbergwiesen (Projektplanung),2009,,"10,300.00",
797,Naturpark Solling-Vogler,"""Wegweiser"" für Erlebnisräume in Schutzgebieten des Naturpark
Solling-Vogler",2008,,"38,000.00",
798,Naturpark Solling-Vogler,Wildkatzenausstellung in Niedersachsen,2009,,"31,500.00",
799,Naturpark Steinhuder Meer,Errichtung einer Informationsstelle auf der Insel Wilhelmstein,2007,,"24,000.00",
800,Naturpark Steinhuder Meer,"Neubau der Beobachtungsplattform ""Neue Moorhütte"" am
Nordufer des Steinhuder Meeres",2008,,"95,000.00",
801,Naturpark Steinhuder Meer,Neubau eines Steges zur Beobachtungsplattform Neue Moorhütte,2007,2008,,"19,000.00"
802,Naturpark Steinhuder Meer,Neugestaltung des Naturpark-Info-Zentrums in Steinhude,2007,,"16,830.98",
803,Naturpark TERRA.vita,Erlebnis Kalksinterterassen,2008,,"108,400.00",
804,Naturpark TERRA.vita,"Öffnung eines Stollens für Besucher im FFH-Gebiet Hüggel
(Silbersee)",2007,,"50,000.00",
805,Nds. Landesverband Bergsteigen im DAV e.V.,Biotop-Pflegemaßnahmen im Okertal,2007,2008,,"8,702.52"
806,Nicole Westphal Agentur für Kommunikation,Ausbau und Aufbau eines Marketingkonzeptes,2008,,"7,200.00",
807,"Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz (NLWKN); Bst. Norden- Norderney","Umgestaltung des Westkopfes der Insel Baltrum Stat. 0+000 bis
0+290 und Sicherung des hist. Pfahlschutzwerkes",2008,,"4,880,000.00",
809,Nord-Informatik GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
810,Nordmann GmbH,Ausarbeitung eines Corporate Design,2009,,"2,800.00",
811,Nordmann GmbH,"Entwicklung von Marketingmaßnahmen zur Neuausrichtung des
Untern ehmens",2009,,"2,800.00",
812,nordmedia Fonds GmbH,"Antrag aus der Entscheiderrunde des Vergabeausschusses vom
29.11.2007 Ziel RWB",2008,2009,,"24,500.00"
813,nordmedia Fonds GmbH,"Anträge aus der Entscheiderrunde des Vergabeausschusses vom
29.11.2007 Zielgebiet RWB",2008,,"806,266.54",
816,nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
13.11.2008 Ziel RWB",2009,,"837,445.00",
817,nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
22.02.2008 RWB",2008,,"22,090.29",
818,NORO Rohrsysteme GmbH,Erstellung eines Marketingkonzepts,2009,,"6,400.00",
819,NORO Rohrsysteme GmbH,Konzeptionelle Beratung beim Design der Drehrohrverteiler,2008,2008,,"10,000.00"
820,Nostalgiehof,"Erstellung eines Marketingkonzeptes und Begleitung bei der
Einführung und Umsetzung",2008,,"10,000.00",
821,Novelis Deutschland GmbH,"Ressourcen-schonende Oberfläche für Lithographieprodukte
Götting en",2008,,"402,800.00",
822,NSD-Fusion GmbH,Erstellung und Umsetzung eines Marketingkonzeptes,2008,2009,,"10,000.00"
823,NSD-Fusion GmbH,Unterstützung bei der Akquise von Beteiligungskapital,2009,,"10,000.00",
824,Oberharzer Geschichts- und Museumsverein e.V.,"Kulturtouristische Inwertsetzung bedeutender Elemente des bean
tragten UNESCO Weltkulturerbes ""Oberharzer Wasserwirtschaft""",2009,,"178,809.75",
825,Ofenscheune Hoheneggelsen,Einführung eines Marketingkonzeptes,2008,2008,,"3,404.00"
826,ohnesorge architekten,"Begleitung und konzeptionelle Beratung zur Planung und
Durchführung der Unternehmensnachfolge",2008,2008,,"4,000.00"
827,Olando Dynamic Dance,"Erstellung eines qualifizierten Marketingkonzeptes zur Strategie
entwicklung des Marketings",2008,2008,,"10,000.00"
828,Oldenburger Kartonagenfabrik GmbH,Erweiterung mit Verlagerung der Betriebsstätte,2007,,"166,800.00",
829,Oldenburgisch Ostfriesischer Wasserverband,Erweiterung der Kläranlage Sandkrug,2007,,"2,466,870.00",
830,Oortmann Fahrrad - und Maschinenhandlung,"Erarbeitung der konzeptionellen und strategischen
Nachfolgeregelung; Unternehmensbewertung",2008,2009,,"8,000.00"
831,Optimas Maschinenfabrik H. Kleinemas GmbH,Erweiterung einer Betriebsstätte,2008,2009,,"83,200.00"
832,Optimer Polymer-Technik GmbH,Erweiterung einer bestehenden Betriebsstätte,2008,,"195,000.00",
833,Ostfriesische Landschaft,Kulturnetzwerk Abenteuer Wirklichkeit Ostfriesland,2008,,"875,439.70",
834,Ostfriesische Landschaft,Umgestaltung des Historischen Landschaftshauses in Aurich,2008,,"1,183,295.30",
835,Ostfriesland Solar- und Haustechnik GmbH,"Aufbau eines Marketings der im Dezember 2007 gegründeten
Vertriebsgesellschaft zur Verbesserung des Markteinstieges",2008,2009,,"10,000.00"
836,Otto und Thorsten Boekhoff OHG,"Ganzheitliche und konzeptionelle Marketingberatung inkl. der
Print- und Digitalmedien sowie Begleitung der Umsetzung",2008,2008,,"6,000.00"
839,Outfit-Friseur Mellanie Buschmann,"Marketingberatung zur Steigerung der Wettbewerbsfähigkeit und
Verbesserung der Umsatz- & Renditesituation",2007,2008,,"4,000.00"
867,P3 Automation GmbH,Erstellung einer plausibilisierten Finanzplanung für Kapitalakquise,2008,,"2,800.00",
840,Paketeria Stuhr,"Marketingberatung und Coaching mit dem Schwerpunkt Online-
Marke ting und regionalem Internet-Branding",2008,2008,,"3,200.00"
841,PER Medien + Marketing GmbH,"Konzeptionelle Beratung und Begleitung zur Verbesserung des
Marktauftrittes und der Erschließung neuer Geschäftsfelder",2008,2008,,"8,000.00"
842,Perspektivblick,Entwicklung einer Marketingstrategie,2009,,"2,800.00",
843,Peter Pelzer,Erstellung eines Marketingkonzeptes,2008,2009,,"3,500.00"
844,Peters Stahlbau GmbH,Erweiterung,2008,,"258,000.00",
845,Petzie Häusliche Kinderkrankenpflege GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
846,Pfeiler Fernmeldebau GmbH,"Erstellung von einem Marketingkonzept zur Verkaufsförderung der
Produkte bzw. Imageförderung",2008,,"10,000.00",
847,Phadiso GmbH,"Herstellung der Beteiligungskapitalfähigkeit und der Eigenkapita
lfianzierung",2008,,"8,000.00",
848,Piet Ligthart Haus der Gesundheit,"Erarbeitung und Begleitung bei der Umsetzung eine komplexen
Marketingkonzeptes",2009,,"10,000.00",
849,"Plass-Reh-Plass, Praxis für Chirugie",Entwicklung eines Kommunikationsdesigns,2008,2009,,"2,800.00"
850,plusform Produkt & Konzept,Einwerbung von Eigenkapital und Fremdkapital,2008,,"2,800.00",
851,Pollmeyers Bauernstuben Inhaber Hubert Cloppenburg,Erweiterung einer Betriebsstätte,2007,,"232,250.00",
852,Power-Ice-Cleaner GmbH & Co.KG,Errichtung einer Betriebsstätte,2007,,"60,000.00",
853,Praxis Dres. Jonas & van Daal,Erstellung eines Marketingkonzepts,2009,,"3,600.00",
854,Primus Präzisionstechnik GmbH & CO. KG,"Erweiterung und Erwerb einer stillgelegten oder von Stilllegung
bedrohten Betriebsstätte",2007,,"390,100.00",
855,Print Finishing Sales & Services GmbH Mario Wozniak,Entwicklung und Umsetzung der Marketing- und Vertriebsstrategie,2008,,"6,000.00",
856,Print Media-Gutschmidt,Erstellung eines Marketing- und Vertriebsplanes,2008,2008,,"10,000.00"
857,Pro Cont Sales AG,U. a. Analyse der Unternehmenssituation,2007,2008,,"10,000.00"
858,pro tec Metallbau GmbH i. G.,Errichtung einer Betriebsstätte,2007,2009,,"76,500.00"
859,Probusiness AG,Einwerbung von Eigenkapital und ergänzendem Fremdkapital,2009,,"10,000.00",
860,Profinal Ltd & Co.KG,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
861,proIng Begemann & Drabow GbR,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
864,Projektzentrum Hannover IT,Management von Innovationsnetzwerken,2008,,"210,000.00",
865,Purplan GmbH,Entwicklung einer Überdruck-/Unterdrucksicherung für Behälter,2008,,"88,400.00",
866,Px BioVisionN GmbH,Unterstützung bei der Aufnahme von Beteiligungskapital,2008,2009,,"10,000.00"
868,QualiSort GmbH,Bau eines Gebäudes und anschaffung von Maschinen,2008,,"363,300.00",
869,R. Bischoff Automatische Türsysteme GmbH & Co. KG,Übergabe des Unternehmens,2008,,"8,000.00",
870,rapid product manufacturing GmbH,"Umstellung oder grundlegende Rationalisierung / Modernisierung
einer Betriebsstätte",2008,,"343,200.00",
871,Rasteder KFO Spezial- Labor GmbH,Erweiterung der Betriebsstätte,2008,,"60,000.00",
872,Raters GmbH,"Klärung des Bedingungsgefüges und Coaching im Rahmen der
Vorbereitungsphase zur Nachfolgeregelung",2008,,"6,000.00",
873,Raumausstatter Janssen GmbH & Co. KG,Verbesserung der Mart- und Marketingfähigkeit,2008,2009,,"4,800.00"
874,Rechtsanwältin Jana Hausbrandt,"Entwicklung eines nachhaltigen Marketing- und Vertriebprozesses
für die Anwaltkanzlei",2008,2009,,"5,053.20"
875,Reeb Kommunikation International GmbH,Einstellung eines Hochschulabsolventen,2009,,"10,800.00",
876,regio gmbh Institut für Regionalentwicklung,KomSiS Next,2009,,"280,200.00",
877,Region Hannover,Koordinierungsstelle Frau und Beruf Hannover Region,2008,,"151,256.02",
878,Region Hannover,Koordinierungsstelle Frau und Beruf Region Hannover,2007,2009,,"127,270.51"
879,Region Hannover,"""Sportforum Wunstorf"", Zentrum f gesundheitl. Bildg. u. Bewegung",2009,,"3,424,894.00",
880,Region Hannover,Technologietransfer in der Region Hannover,2008,,"450,000.00",
881,Reiba-Badewien GmbH,"Begleitende und konzeptionelle Beratung für
Marketingmaßnahmen bei der Herstellung von Fliegengittern",2008,2009,,"8,000.00"
882,Reinecke GmbH & Co. KG,Zielgerichtete Gestaltung der Nachfolge im Unternehmen,2007,2008,,"4,800.00"
883,Reinelt Medizintechnik,"Verbesserung der strategischen Ausrichtung am Markt; Steigerung
der Marktpräsenz und der Marktanteile",2008,2008,,"9,375.00"
884,Reiner Berends Maschinenbau Dreh+Frästechnik GmbH,Entwicklung eines Marketingkonzeptes,2008,2009,,"10,000.00"
885,Reinhold Weith GmbH,"Erstellung einer aussagekräftigen Konzeption zur Unternehmens-
nachfolge",2008,2008,,"2,100.00"
886,Reiten und mehr,Beratung zu Branchen- und Produkt/Leistungsbezogenen Marketingma ßnahmen mit dem Ziel der Absatzsteigerung,2009,2009,,"2,800.00"
890,Remmers GmbH,"Strukturelle Konzeptionsentwicklung und Coaching im Rahmen der
Vorbereitungsphase zur Nachfolgeregelung",2008,2009,,"10,000.00"
891,Residenzort GmbH Rastede,Modernisierung des Turnierplatzes im Schlosspark zu Rastede,2007,,"1,310,367.00",
892,Restaurant Basta,Stärkung des Unternehmens nach innen und außen,2009,,"2,800.00",
893,RFmondial GmbH,Gründung und Aufbau des Unternehmens RFmondial GmbH,2009,,"18,000.00",
894,RH Consulting Richard Heyen,"Ist-Analyse, Entwicklung von Sollkonzepten, Lösungsbewertung
und Auswahl, Umsetzungsbegleitung",2007,2008,,"4,000.00"
895,RLS innovations GmbH,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",
896,Roland GmbH,"Erweiterung um eine Lager-, Fertigungs- u. Ausststellungshalle",2008,,"60,400.00",
897,Rolladenbau Morgenstern GmbH & Co. KG,Neuentwicklung bzw. Anpassung der Marketingaktivitäten,2008,2008,,"3,200.00"
