"Asse","Obiettivo specifico","Beneficiario","Operazione","Anno","Importo impegnato","Importo pagato"
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4B",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4C",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4D",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4E",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4F",2008,794000,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4G",2008,794000,0
"IV","H","LICEO ""ANDREA MAFFEI""","Conosci te stesso. Progetto formativo d'orientamento per il Liceo Scientifico",2008,3851,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4H",2008,794000,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Percorso di autovalutazione e orientamento per classi quarte e quinte elettronica",2008,2800,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e mondo del lavoro - classe 4I",2008,794000,0
"IV","H","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Lo studio degli ""spazi"" della geometria",2008,4116,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e lauree scientifiche - classe 4D",2008,3756,0
"IV","H","LICEO BERTRAND RUSSELL - CLES","Orientamento come scelta consapevole",2008,13323,0
"IV","H","LICEO BERTRAND RUSSELL - CLES","Itinerario verso le discipline scientifiche",2008,11712,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e lauree scientifiche - classe 5E",2008,1178,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e lauree scientifiche",2008,2983,0
"IV","H","LICEO SCIENTIFICO ""GALILEO GALILEI""","Orientamento e lauree scientifiche - Crittografia",2008,1183,0
"IV","H","LICEO ""ANDREA MAFFEI""","Conosci te stesso. Progetto formativo di orientamento per il Liceo Classico",2008,3951,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Orientamento universitario",2008,5354,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Guida all'orientamento",2008,6300,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","LICEO ""ANDREA MAFFEI""","Centra l'obiettivo",2008,12402,0
"IV","H","ASSOFORM TRENTINA","Il bilancio di competenza come strumento di orientamento e crescita professionale per gli studenti d...",2008,9918,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Cassiopea -""conoscersi e scegliere"" Avviare il percorso di orientamento in quarta",2008,854000,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Cassiopea ""Lauree scientifiche""",2008,4200,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Cassiopea ""Laurea in Economia""",2008,4486,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Cassiopea ""Lauree umanistiche""",2008,4780,0
"IV","H","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Cassiopea ""Laurea in Sociologia""",2008,4312,0
"IV","H","ISTITUTO COMPRENSIVO LADINO DI FASSA","Progetto Orione",2008,19606,0
"IV","H","LICEO ""ANDREA MAFFEI""","Conosci te stesso. Progetto formativo di orientamento per il Liceo Socio - Psico - Pedagogico",2008,3851,0
"IV","H","LICEO ""ANDREA MAFFEI""","Conosci te stesso. Progetto formativo di orientamento per il Liceo Linguistico",2008,3851,0
"IV","I","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Operatore turistico esperto nella promozione di Attività sportive, ricreative, culturali e di cura d...",2008,69357,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","METODOLOGIE DI APPRENDIMENTO PER LA DISABILITA'",2008,46888,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'ANIMATORE COME TECNICO DELLA RIABILITAZIONE FISICA E COGNITIVA DELL'ANZIANO",2008,43494,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","APPLICAZIONI INFORMATICHE NELLA GESTIONE DELLE MERCI IN UN CONTESTO DI GLOBALIZZAZIONE",2008,48388,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CONTROLLO GESTIONALE INFORMATIZZATO IN PMI AD APERTURA INTERNAZIONALE",2008,48274,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","TECNICO DEL COMMERCIO INTERNAZIONALE",2008,48388,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","SISTEMI FL/OS PER LA CREAZIONE E PUBBLICAZIONE DEI CONTENUTI ON-LINE NELLA GESTIONE D'AZIENDA",2008,48023,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LA GESTIONE DELLE RELAZIONI AZIENDALI: IL MARKETING DI PROSSIMITA'",2008,48388,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LA QUALITA' DEI SERVIZI NELLE STRUTTURE RECETTIVE",2008,50077,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","TECNICO TURISMO SOCIALE",2008,47474,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CIBO, GUSTO E SALUTE",2008,49117,0
"IV","I","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Tecnico turistico esperto nella definizione della domanda turistica di nicchia e nella mediazione co...",2008,73569,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","LAVORARE NELLE IMPRESE RISTORATIVE:COMUNICAZIONE E PROMOZIONE",2008,50301,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","TURISMO SCOLASTICO",2008,49656,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","TECNICO RESPONSABILE DEL MARKETING RELAZIONALE NELLA P.M.I. - 5 B AZ",2008,47414,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","PER SVILUPPARE COMPETENZE PROGETTUALI E RELAZIONALI - 4 A AZ",2008,29720,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","LAVORARE COME ANIMATORE TURISTICO - 4 TUR",2008,33930,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","IGIENE, SICUREZZA, QUALIT?ﾀ: NUOVE FRONTIERE DELL'ATTIVIT?ﾀ AMMINISTRATIVA DELL'IMPRESA ARTIGIANA",2008,48313,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","ADDETTO ALLA CONTABILIT?ﾀ E AI RAPPORTI CON LA CLIENTELA NELL'AGENZIA DI ASSICURAZIONI - PRIMA PARTE...",2008,32466,0
"IV","I","OXFORD CIVEZZANO Societﾈ cooperativa","L'ortodonzia: nuova opportunitﾈ per l'odontotecnico del futuro",2008,25096,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","COMUNICAZIONE TERRITORIALE: TURISMO CULTURA E MARKETING - 5 A TUR",2008,51740,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","SCORCI DI VITA QUOTIDIANA NEGLI AFFRESCHI DI TORRE AQUILA: ANALISI E REALIZZAZIONE DI ABITI D'EPOCA",2008,42918,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Competenze trasversali per una professionalitﾈ flessibile del tecnico dell'impresa turistica",2008,39526,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","NUOVI TERRITORI TRA CULTURA, NATURA, TURISMO",2008,49460,0
"IV","I","ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI ""LIVIA BATTISTI""","OPERATORE IN RICERCHE DI MERCATO E MARKETING - 4 B AZ",2008,31894,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Tecnologia e Colore nella Progettazione Grafica",2008,30545,0
"IV","I","OXFORD CIVEZZANO Societﾈ cooperativa","Principi di estetica nella ceramizzazione",2008,32584,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Arte, Web, Grafica e Pubblicitﾈ",2008,28645,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","L'Immagine nella Pubblicitﾈ",2008,24755,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Grafica tra Arte e Ripresa Digitale",2008,41319,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Dall'Arte alla Videografica",2008,37941,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Il valore e la cultura della montagna nella cooperazione Trentina",2008,46434,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CONOSCERE I SERVIZI PER LA PRIMA INFANZIA: IL NIDO E I SERVIZI INTEGRATIVI",2008,45690,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","La sicurezza ed i sistemi di qualitﾈ nelle imprese artigiane",2008,53890,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","La gestione aziendale nell'ottica della responsabilitﾈ sociale d'impresa",2008,47330,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","L'impresa turistica fra sport e spettacolo come punto d'incontro d'arte, cultura e lavoro nella Pian...",2008,43340,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","L'impresa turistico-alberghiera: identitﾈ territoriale e fattori di sviluppo.",2008,49634,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","La valorizzazione dell'ICT come Operatore del comparto turistico e ricettivo",2008,39216,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Professionalitﾈ e management della ristorazione",2008,47330,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Competenze tecniche e nuove strategie in ambito ristorativo",2008,51992,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Il settore ristorativo-ricettivo: elemento nodale del turismo trentino",2008,43608,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Marketing ed incoming per il turismo",2008,50786,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Esperto nella gestione di piccole imprese multifunzionali che operano nel settore del turismo sosten...",2008,49156,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","ANIMATORE EDUCATIVO IN CONTESTI AGGREGATIVI, LUDICI E NARRATIVI E IN CRITICITA' DI APPRENDIMENTO",2008,46751,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Il responsabile dello sviluppo di modelli di gestione e di rendicontazione della Responsabilitﾈ Soci...",2008,54818,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","L'amministrazione e la gestione delle risorse umane",2008,52721,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","ACCOGLIENZA E ANIMAZIONE TURISTICA",2008,49052,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","MARKETING E COMUNICAZIONE TURISTICA",2008,45918,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'OPERATORE NEI SISTEMI DI ACCOGLIENZA RESIDENZIALE",2008,48227,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","MINORI IN DISAGIO: L'ANIMATORE EFFICACE",2008,46363,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'OPERATORE SOCIO-SANITARIO: UNA SCELTA POSSIBILE",2008,45341,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","CAREGIVER: STRUMENTI DI COMUNICAZIONE MULTIMODALE PER L'ASSISTENTE EDUCATORE",2008,45015,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Amministrazione di reti locali con Windows 2003 Server",2008,18955,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""C.A.PILATI""","Progettazione e realizzazione di dispositivi elettronici con riferimento alle normative CE/IEC/CEI",2008,13960,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""C.A.PILATI""","Costituzione di una Attività imprenditoriale nel campo della progettazione di reti locali e geografi...",2008,23543,0
"IV","I","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Conoscere, comprendere, scegliere.",2008,30735,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""F. E G. FONTANA""","Business e responsabilitﾈ sociale d'impresa: we can",2008,18210,0
"IV","I","ISTITUTO DI ISTRUZIONE ""ANTONIO ROSMINI"" - TRENTO","La trasformazione del concetto di cittadinanza e il riconoscimento dei diritti personali.",2008,17248,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Nuove tecnologie nel bilancio aziendale",2008,12656,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","Bioedilizia: acquisizione di conoscenze e competenze attraverso il contatto con realtﾈ di ricerca, p...",2008,21212,0
"IV","I","LICEO SCIENTIFICO ""GALILEO GALILEI""","Tecniche di progettazione (Computer Aided Design)",2008,11221,0
"IV","I","ISTITUTO DI ISTRUZIONE ""ANTONIO ROSMINI"" - TRENTO","""La patria non ﾏ che una sola: il mondo, e tutti nacquero dal Caos"" (Meleagro di Gadara)",2008,17248,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","IL LAVORO AUTONOMO E LE DONNE",2008,16487,0
"IV","I","ISTITUTO DI ISTRUZIONE ""ANTONIO ROSMINI"" - TRENTO","Globalizzazione e garanzia dei diritti",2008,17248,0
"IV","I","ISTITUTO FIGLIE DEL SACRO CUORE DI GESU'","Il Moderno Messaggio Mediatico",2008,17797,0
"IV","I","OXFORD CIVEZZANO Societﾈ cooperativa","COMPOSTAGGIO E VALORIZZAZIONE DELLA FRAZIONE UMIDA DEL RSU",2008,27415,0
"IV","I","ISTITUTO DI ISTRUZIONE ""FABIO FILZI""","Educare all'autoimprenditorialitﾈ cooperativa",2008,23370,0
"IV","I","COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","Il giornalista multimediale",2008,20225,0
"IV","I","I.T.I. ""M. BUONARROTI""","TECNOLOGIE EIB-BUS - I EDIZIONE",2008,19513,0
"IV","I","I.T.I. ""M. BUONARROTI""","LA CASA IN LEGNO - I EDIZIONE",2008,25352,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","L'INFORMATICA PER STARE IN EUROPA",2008,12278,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Le nuove frontiere della web communication",2008,23681,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Comunicazione e giornalismo nell'era di internet",2008,28280,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Tecnologie innovative nella comunicazione",2008,12436,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARTINO MARTINI""","Esplorare il non-profit",2008,16718,0
"IV","I","I.T.I. ""M. BUONARROTI""","LA CASA DEL LEGNO - II EDIZIONE",2008,25352,0
"IV","I","I.T.I. ""M. BUONARROTI""","PERITO CHIMICO: TECNICO AMBIENTALE",2008,29203,0
"IV","I","I.T.I. ""M. BUONARROTI""","TECNOLOGIE EIB-BUS - II EDIZIONE",2008,19513,0
"IV","I","I.T.I. ""M. BUONARROTI""","SPAC® IMPIANTI CAD 2008 PER LA PROGETTAZIONE ELETTRICA",2008,22564,0
"IV","I","I.T.I. ""M. BUONARROTI""","ECDL ADVANCED",2008,29045,0
"IV","I","I.T.I. ""M. BUONARROTI""","LA MECCANICA PER IL BENESSERE ABITATIVO - I EDIZIONE",2008,29205,0
"IV","I","I.T.I. ""M. BUONARROTI""","LA MECCANICA PER IL BENESSERE ABITATIVO - II EDIZIONE",2008,29205,0
"IV","I","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Laboratorio di impresa turistica",2008,28904,0
"IV","I","ISTITUTO DI ISTRUZIONE La rosa bianca - weisse Rose","Laboratorio di animazione d'infanzia",2008,32121,0
"IV","I","ISTITUTO DI ISTRUZIONE ""MARIE CURIE""","GIOVANI E IMPRESA",2008,15250,0
"IV","I","LICEO BERTRAND RUSSELL - CLES","Servizi alla persona nella societﾈ dell'integrazione",2008,24262,0
"IV","I","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","La certificazione EUCIP IT Administrator: Sistemi Operativi",2008,9823,0
"IV","I","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Progettazione e realizzazione del portale web per l'Universit?ﾩ P?ﾩdagogique Nationale di Kinshasa (...",2008,10838,0
"IV","I","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Programmazione di videogiochi in Python",2008,10838,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""F. E G. FONTANA""","AutoCAD per la professione del geometra.",2008,34337,0
"IV","I","ISTITUTO TECNICO INDUSTRIALE ""G.MARCONI""","Introduzione ai Sistemi Informativi Territoriali (GIS) Open Source",2008,11904,0
"IV","I","COLLEGIO ARCIVESCOVILE ""CELESTINO ENDRICI""","WWW.YOU – We Work With You Arci-laboratorio di Ricerca e Sviluppo",2008,32183,0
"IV","I","LICEO BERTRAND RUSSELL - CLES","Servizi alla persona nella societﾈ dell'integrazione: l'indirizzo pedagogico",2008,19376,0
"IV","I","LICEO SCIENTIFICO ""GALILEO GALILEI""","Comunicare per immagini",2008,10552,0
"IV","I","ISTITUTO D'ARTE ALESSANDRO VITTORIA","VIRTUAL ENTERPRISE: costruire imprese virtuali nell'ambiente di Second Life",2008,18860,0
"IV","I","ISTITUTO COMPRENSIVO LADINO DI FASSA","Laboratorio di impresa per la comunicazione e la valorizzazione del territorio di fassa",2008,25054,0
"IV","I","ISTITUTO DI ISTRUZIONE I.P.S.C.T. ""DON MILANI"" E ISTITUTO D'ARTE DEPERO","Apprendimento di competenze professionali cinematografiche",2008,21830,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""C.A.PILATI""","Tecnologie e materiali per lo sviluppo sostenibile e l'innovazione",2008,13791,0
"IV","I","ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI ""C.A.PILATI""","Competenze di secondo livello su strumenti informatici contabili-economici applicate al sistema azie...",2008,12125,0
"IV","H","PAT - INCARICO SPECIALE PER L'INTEGRAZIONE DELLE ATTIVITA' FORMATIVE A SUPPORTO DELLO SVILUPPO�","Assegnazione incarico di collaborazione coordinata e continuativa per l'attività di certificazione n...",2008,18566,18566
"VI","N","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Approvazione di un programma per l'assunzione di spese in economia relativo ad Attività",2008,130000,0
"VI","N","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio di ""IDEAZIONE, PROGETTAZIONE E C�",2008,70000,0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Conferimento di incarico relativo all'Attività di supporto all'azione del Nucleo Tecnico di Valutazi...",2008,19400,17540
"II","F","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Assegnazione e finanziamento Indennitﾈ Integrativa di Conciliazione",2008,75166,75166
"VI","N","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Approvazione di un programma per l'assunzione di spese in economia relativo alle Attività di valutaz...",2008,220000,0
"II","F","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Assegnazione e finanziamento Indennitﾈ Integrativa di Conciliazione",2008,13312,13312
"I","C","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Approvazione di un programma per l'assunzione di spese in economia relativo alla diagnosi dell'evolu...",2008,160000,0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Integrazione del contratto d'appalto relativo alla realizzazione di servizi ed interventi a so�",2008,50000,0
"V","M","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Progetto di collaborazione tra l'Autoritﾈ di gestione del Programma Operativo Ob. 2 Fondo Sociale Eu...",2008,175000,0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Conferimento di incarichi nell'ambito della Task force provinciale Fse, al fine di promuovere,�",2008,150000,0
"IV","H","PAT - INCARICO SPECIALE PER L'INTEGRAZIONE DELLE ATTIVITA' FORMATIVE A SUPPORTO DELLO SVILUPPO�","Assegnazione incarico di collaborazione coordinata e continuativa per la conclusione della prima spe...",2008,6087,6087
"II","E","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio per ""SOSTENERE LA NASCITA E L'ATTIVIT?...",2008,120000,0
"III","G","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio relativo alla “SPERIMENTAZIONE DI NUOVI M...",2008,220000,0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'utilizzo di dipendenti privati di Ente Gestore convenzionato ai sensi dell'art. 1...",2008,46000,0
"II","F","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Finanziamento dello strumento “BUONI DI SERVIZIO O DI ACCOMPAGNAMENTO” per le Annualit� 2008 e 2...",2008,"#VALUE!",0
"I","B","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio relativo alla realizzazione di “AZIONI DI...",2008,210000,0
"I","A","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio relativo alla sperimentazione di “AZIONI ...",2008,380000,0
"III","G","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione di una gara per il Servizio atto a “SVILUPPARE SPERIMENTALMENTE DEI P...",2008,200000,0
"II","F","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione della gara per l'appalto dell'affidamento del servizio per “FAVORIRE ...",2008,550000,0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione della gara per l'appalto dell'affidamento del servizio per il “RAFFOR...",2008,"#VALUE!",0
"I","A","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Autorizzazione all'indizione della gara per l'appalto del servizio di “PROGETTAZIONE E REALIZZAZIO...",2008,"#VALUE!",0
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Approvazione di un programma di spese in economia per Attività di supporto ai processi di riforma e ...",2008,35000,30000
"IV","H","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Approvazione programma periodico per l'Anno 2008 e 2009 di spese in economia relative al funzionamen...",2008,241054,0
"II","E","PAT - AUTORITA' DI GESTIONE DEL PROGRAMMA OPERATIVO","Integrazione del contratto d'appalto relativo alla realizzazione del ""SERVIZIO DI ""F�",2008,"#VALUE!",0
"II","F","PAT - DIPARTIMENTO ISTRUZIONE","Conferimento incarico di consulenza relativo ai compiti di ""Animatrice di pari opportunitﾈ""...",2008,52390,0
"IV","H","PAT - SERVIZIO ESPROPRIAZIONI E GESTIONI PATRIMONIALI","Stipulazione del contratto per l'assunzione in locazione di un'unitﾈ immobiliare.",2008,460800,0
"IV","H","PAT - DIPARTIMENTO ISTRUZIONE","Incarico collettivo di consulenza a supporto dello sviluppo e dell'innovazione del sistema di ...",2008,50000,0
"IV","H","PAT - SERVIZIO PER LO SVILUPPO E L'INNOVAZIONE DEL SISTEMA SCOLASTICO","Conferimento di due incarichi di consulenza professionale per il raggiungimento degli obiettivi ric...",2008,97344,0
"III","G","ISTITUTO PROVINCIALE PER LA RICERCA E LA SPERIMENTAZIONE EDUCATIVA (IPRASE)","Interventi strutturati in materia di lotta alla discriminazione in contesto formativo e conseguentem...",2008,100000,0
"IV","H","ISTITUTO PROVINCIALE PER LA RICERCA E LA SPERIMENTAZIONE EDUCATIVA (IPRASE)","Attivazione di un sistema organico e strutturato di azioni destinate alla formazione permanente dei ...",2008,"#VALUE!",0
"IV","H","ISTITUTO PROVINCIALE PER LA RICERCA E LA SPERIMENTAZIONE EDUCATIVA (IPRASE)","Modellizzazione e sperimentazione dei nuovi piani di studio fortemente ancorati all'obiettivo del ra...",2008,"#VALUE!",0
