Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
ESR-ohjelman tiedotus Pohjois-Pohjanmaalla,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,Pohjois-Pohjanmaan TE-keskus,18 450,10 045,26 550,14 455,45 000,24 500
Pohjanmaan TE-keskus Tekninen tuki - Toimeenpano & hallinnointi,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,Pohjanmaan TE-keskus,119 357,0,169 643,0,289 000,0
Opin Ovi Kymi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.12.2011,Kotkan-Haminan seudun koulutuskuntayhtymä,98 153,35 710,105 515,38 388,567 667,92 398
"ESR Täytäntöönpano, hallinnointi (tekninen tuki / muu Suomi)",Riksomfattande delen,5,Social- och hälsovårdsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Sosiaali- ja terveysministeriö,57 120,15 126,78 880,13 760,136 000,28 886
ESR Tiedotus ja viestintä (tekninen tuki / muu Suomi),Riksomfattande delen,5,Social- och hälsovårdsministeriet,Verksamhet pågår,1.1.2007,31.12.2013,Sosiaali- ja terveysministeriö,17 880,0,26 120,0,44 000,0
Tekninen tuki: toimeenpano ja hallinnointi,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.12.2008,31.12.2013,Pirkanmaan TE-keskus,257 076,61 895,367 923,87 872,1 068 600,149 767
Tekninen tuki: tiedotus ja viestintä,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.12.2008,31.12.2013,Pirkanmaan TE-keskus,30 923,5 136,44 076,7 292,92 500,12 428
"Länsi, sivo, palkat",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2008,31.12.2013,Länsi-Suomen lääninhallitus,308 200,186 987,436 800,265 010,2 705 000,451 997
"Länsi, sto, palkat",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2008,31.12.2013,Länsi-Suomen lääninhallitus,30 720,20 590,45 280,30 348,266 000,50 938
"Tekninen tuki, tiedotus",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Suomen lääninhallitus,84 000,29 293,101 000,35 221,519 500,64 514
Vihreä sohva,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.10.2008,30.4.2011,Päijät-Hämeen koulutuskonserni/Tuoterengas/Patina,192 191,65 873,176 158,59 286,533 493,133 208
Manner-Suomen ESR-ohjelman arviointi (pl. Itä-Suomi),Riksomfattande delen,5,Arbets- och näringsministeriet,Verksamhet pågår,1.1.2008,31.12.2013,"Työ- ja elinkeinoministeriö, AKY/RAPO",65 962,38 522,97 538,56 558,381 500,95 080
"Tekninen tuki, Informaatio",Riksomfattande delen,5,Österbottens förbund,Verksamhet pågår,1.1.2007,31.12.2010,Pohjanmaan liitto,7 500,0,10 500,0,30 000,0
Yrityspalvelujen kehittäminen Pohjois-Pohjanmaalla (YPAKE),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.12.2008,31.12.2010,Pohjois-Pohjanmaan TE-keskus,123 000,31 588,184 500,35 621,307 500,67 209
Manner-Suomen ESR-ohjelman tiedotus (pl. Itä-Suomi),Riksomfattande delen,5,Arbets- och näringsministeriet,Verksamhet pågår,1.1.2008,31.12.2013,"Työ- ja elinkeiniministeriö, AKY/RAPO",86 703,26 560,126 899,38 874,748 602,65 434
UUSI VÄYLÄ AMMATTIIN,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.8.2008,31.12.2010,Tornion Työvoimalasäätiö,58 466,6 365,66 672,7 259,239 780,16 387
ESR tiedotus ja viestintä 2007 - 2013,Riksomfattande delen,5,Utbildningsstyrelsen,Verksamhet pågår,1.1.2007,31.12.2013,Opetushallitus,16 100,10 132,24 150,15 199,252 400,25 331
ESR toimeenpano/hallinnointi 2007 - 2013,Riksomfattande delen,5,Utbildningsstyrelsen,Verksamhet pågår,1.1.2007,31.12.2013,Opetushallitus,171 000,140 597,256 500,210 896,1 529 100,351 493
"Tekninen tuki ESR, Tiedotus OLH Sivistys",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,"Oulun lääninhallitus, sivistysosasto",3 397,1 998,4 603,2 830,24 000,4 828
"Tekninen tuki ESR, Hallinnointi OLH Sivistys",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.1.2007,31.12.2013,"Oulun lääninhallitus, sivistysosasto",331 603,106 911,472 397,146 781,1 940 000,253 692
Aloittavien yrittäjien ja pk-yritysten liiketoimintaosaamisen kehittämisohjelma (APAKE),Riksomfattande delen,1,Arbets- och näringsministeriet,Verksamhet pågår,1.6.2008,31.12.2013,Työ- ja elinkeinoministeriö/TE-keskukset,69 696,44 814,78 594,50 536,506 060,95 350
PROTEK.  Valtakunnallinen kehittämisohjelma: Osaamisella ja työelämän laadun kehittämiselläparempaan muutoksenhallintaan.,Riksomfattande delen,1,Arbets- och näringsministeriet,Verksamhet pågår,14.8.2008,31.12.2013,Työ- ja elinkeinoministeriö,16 685,3 853,18 815,4 345,683 500,8 198
Seudullisten yrityspalvelujen tuki,Riksomfattande delen,1,Arbets- och näringsministeriet,Verksamhet pågår,13.10.2008,1.12.2013,"Työ- ja elinkeinoministeriö, Työvoima- ja yrityspalvelut ryhmä",192 230,62 439,216 770,70 410,910 700,132 849
Maahanmuuttajien ohjaus- ja työnhakupalvelut,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,6.10.2008,31.12.2011,Tampereen Aikuiskoulutussäätiö/Tampereen Aikuiskoulutuskeskus,115 116,53 277,192 674,89 173,563 490,142 450
Liikunnan kehittämishanke eli LIKE-hanke,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,15.8.2008,14.8.2011,Pohjanmaan Liikunta ja Urheilu PLU ry,217 454,80 518,245 213,90 796,958 335,252 217
NY Yrittäjyyskasvatuksen polku,Riksomfattande delen,1,Utbildningsstyrelsen,Verksamhet pågår,1.5.2008,30.9.2010,Nuori yrittäjyys ry,40 124,26 907,36 986,7 990,157 076,34 897
Avoin kansallinen ideapankki - Open Innovation Banking System (OIBS),Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.5.2008,30.6.2011,Laurea Ammattikorkeakoulu,190 780,132 401,192 032,133 269,1 060 000,265 670
OIVALLUS - OPPIVIEN VERKOSTOJEN OSAAMISTARPEET TULEVAISUUDEN SUOMESSA,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.6.2008,31.5.2011,Elinkeinoelämän keskusliitto EK,77 040,18 133,115 560,27 199,417 240,45 332
Musiikkialan toimintaympäristöt ja osaamistarve - Toive,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.8.2008,31.3.2011,Sibelius-Akatemia,165 819,0,192 205,0,481 572,0
Suunnitelma Yleisten kielitutkintojen suomen kielen keskitason testien digitalisoinnin toteuttamiseksi,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,28.2.2009,Soveltavan kielentutkimuksen keskus,51 434,95 269,77 150,0,128 584,95 269
STUDIO,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.12.2011,Hämeen ammatillisen korkeakoulutuksen kuntayhtymä,173 792,86 563,230 688,95 714,1 025 000,193 146
Urabaarista eteenpäin,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,15.9.2008,31.3.2011,Espoon seudun koulutuskuntayhtymä Omnia,184 076,54 504,197 881,58 591,787 344,118 327
AKTIIVI - Avoimissa oppimisympäristöissä aktiiviseksi kansalaiseksi -koordinointihanke,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2008,31.10.2011,Kemi-Tornion ammattikorkeakoulu,123 190,26 118,155 522,32 973,748 066,63 896
Maahanmuuttajien ohjauskeskus Etelä-Pohjanmaalla,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.11.2008,30.10.2011,Etelä-Pohjanmaan TE-keskus,66 677,17 321,73 323,19 048,273 040,36 369
Tietoyhteiskunnan tilat ja sisällöt,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.8.2008,31.12.2011,Tampereen yliopisto,402 556,64 526,484 088,77 595,2 756 653,159 072
Innowell Network 2008-2011,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.8.2011,"Turun ammattikorkeakoulu (Turun AMK), Tietoliikenne ja sähköinen kauppa",84 468,41 562,66 644,32 791,492 271,83 361
Rovapolut - monikulttuuriset mahdollisuudet osaamisen kehittämiseen ja työllistymiseen Rovaseudulla,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.11.2008,31.10.2011,Rovaniemen koulutuskuntayhtymä/Lapin ammattiopisto,138 592,61 464,156 285,69 311,886 050,143 324
"Saamenkielen ja -kulttuurin virtuaalinen kehittämis- ja oppimisympäristö - VUOSTTAS LÁVKI, esiselvityshanke",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.9.2008,30.9.2009,Saamelaisalueen koulutuskeskus,42 980,21 258,64 470,31 888,107 450,53 146
Keski-Suomen Opin ovi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,30.11.2011,Jyväskylän koulutuskuntayhtymä,96 051,55 136,103 254,59 270,602 000,114 406
Varsinais-Suomen OpinOvi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.12.2011,Turun Aikuiskoulutussäätiö/ Turun Aikuiskoulutuskeskus,174 109,44 954,192 111,49 602,1 046 501,113 005
Välittäjä-hanke,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,16.6.2008,15.6.2011,Keski-Suomen Yhteisöjen Tuki ry,207 743,140 122,233 711,157 637,974 000,316 473
Suomeen muuttaneiden alkuvaiheen ohjaus ja osaamisen kehittäminen- tukirakenne (ALKU),Riksomfattande delen,2,Arbets- och näringsministeriet,Verksamhet pågår,26.5.2008,31.12.2013,"Sisäasiainministeriö, maahanmuutto-osasto",207 270,82 565,233 730,37 223,1 418 000,119 788
LAATU RATKAISEE- innovaatioverkosto kotityöpalvelualan kehittäjänä,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2008,30.4.2010,Työtehoseura ry (TTS),61 132,5 682,69 211,6 433,188 200,14 715
Lapin Opin ovi,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.8.2008,31.12.2011,Rovaniemen koulutuskuntayhtymä,75 521,26 341,81 186,28 316,455 579,62 619
Maahanmuutto-ohjelmien tukirakenne MATTO,Riksomfattande delen,4,Arbets- och näringsministeriet,Verksamhet pågår,26.5.2008,31.12.2013,"Sisäasiainministeriö, maahanmuutto-osasto",90 475,45 116,102 025,50 876,2 136 000,95 992
LUOVA - matka ammattiin,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,31.12.2010,Kotkan-Haminan seudun koulutuskuntayhtymä/Rannikkopajat,195 698,91 742,214 847,100 718,825 222,229 348
Ohjauksen ja työelämätaitojen kehittäminen korkea-asteella,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.7.2008,31.12.2011,"Jyväskylän yliopisto, Opettajankoulutuslaitos",528 244,172 074,722 366,235 309,2 746 130,420 815
Tutkinto valmiiksi ja töihin - koordinoiva projekti,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.2.2008,31.12.2011,"Jyväskylän yliopisto, Täydennyskoulutuskeskus",322 407,95 471,483 610,143 207,1 593 439,238 678
Välityömarkkinat I,Riksomfattande delen,2,Arbets- och näringsministeriet,Verksamhet pågår,1.9.2008,31.12.2011,Työ- ja elinkeinoministeriö,311 926,75 167,351 746,84 762,1 994 609,159 929
OMA OVI,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2009,30.6.2011,Tampereen Aikuiskoulutussäätiö / Tampereen Aikuiskoulutuskeskus,59 960,27 358,89 940,41 038,299 800,68 396
Pientyöpaikoilla uudistuminen,Riksomfattande delen,1,Social- och hälsovårdsministeriet,Verksamhet pågår,1.1.2009,31.5.2012,Kuntoutussäätiö,217 440,54 236,317 160,79 109,1 734 142,133 345
Veeran Verstas - nuoren harjoitteluyritys luovaan yhteisöyrittäjyyteen,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.8.2008,30.10.2011,Kansan Sivistystyön Liitto KSL ry,49 071,16 136,58 282,19 165,352 462,49 665
PAJAVERKKO - Nuorten työpajatoiminnan kehittäminen Uudellamaalla.,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Sydöstra Finland",Verksamhet pågår,1.4.2008,31.12.2010,"Helsingin yliopisto, Koulutus- ja kehittämiskeskus Palmenia, pk-yksikkö",164 232,65 142,185 347,80 294,702 620,180 902
KEVÄT - Välityömarkkinoiden kehittäminen Keski-Suomessa,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Mellersta Finland",Verksamhet pågår,1.6.2008,31.5.2011,Jyväskylän ammattikorkeakoulu Oy,149 141,73 611,179 866,82 783,485 000,168 564
"VERKKO, nuorten työpajojen laajeneva yhteistyöverkosto",Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.12.2011,Oulaisten kaupunki,38 040,17 236,42 410,19 216,242 160,48 141
Tietotaitotalkoot,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.6.2008,31.5.2011,Tietotekniikan liitto ry,115 214,49 840,129 921,56 202,781 300,106 851
ULA - Ungdom/Lärande/Arbete,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.8.2008,31.7.2011,Resurscentret Föregångarna / Svenska Studiecentralen / Svenska Folkskolans Vänner,81 252,10 774,114 748,16 060,203 500,27 462
Maahanmuuttajien kielikoulutuksen kehittämishankkeiden koordinointi,Riksomfattande delen,2,Utbildningsstyrelsen,Verksamhet pågår,1.4.2008,30.3.2011,Opetushallitus,113 800,0,170 700,0,513 500,0
Valtakunnallinen ammatillisten osaamistarpeiden ennakointi/VOSE,Riksomfattande delen,3,Utbildningsstyrelsen,Verksamhet pågår,1.6.2008,31.5.2011,Opetushallitus,205 000,54 034,281 500,74 198,1 024 000,128 232
Orkesterointi-Inno,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.4.2008,31.12.2011,"Teknillinen korkeakoulu, Koulutuskeskus Dipoli",40 426,40 426,56 138,56 138,597 093,96 564
Tekninen tuki/ESR toteutus ja hallinnointi/LLHSiv,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2007,31.12.2013,"Lapin lääninhallitus, sivistysosasto",290 900,95 337,416 100,134 855,1 671 000,230 192
"EXIMIN ( Export, Import, Innovations)",Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.9.2008,31.8.2011,Vaasan ammattikorkeakoulu,53 419,17 647,60 946,20 134,375 470,46 004
Tekninen tuki SOTE/ESR toteutus ja hallinnointi/LLHSiv,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.1.2007,31.12.2013,"Lapin lääninhallitus, sivistysosasto",25 800,13 874,37 200,20 005,147 000,33 879
tekninen tuki ESR /ESLH SIV hallinto,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Suomen lääninhallitus,202 000,160 263,303 000,240 394,1 465 000,400 657
Virina - naisia teknologiateollisuuteen/ TYÖHALLINNON OSUUS,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.1.2009,30.6.2011,Tampereen työvoimatoimisto,117 424,10 285,176 136,15 428,370 860,25 713
Kunskap och kompetens i utbildning och på arbetsmarknaden,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Birkaland",Verksamhet pågår,1.10.2008,30.6.2011,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,251 816,39 389,348 138,54 053,633 454,93 442
"Lapin TE-keskus, tekninen tuki tiedotukseen",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.12.2007,31.12.2013,Lapin TE-keskus,14 100,4 277,15 900,4 823,35 000,9 100
Tekninen tuki ESR / ESLH STO hallinto,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Nyland",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Suomen lääninhallitus,34 000,23 165,50 000,34 067,252 000,57 232
Lapin TE-keskuksen tekninen tuki,Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.12.2007,31.12.2013,Lapin TE-keskus,241 900,100 721,350 100,144 258,1 142 200,244 979
Suunto -projekti,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Lappland",Verksamhet pågår,1.5.2008,31.12.2013,Lapin TE-keskus,1 170 112,253 578,1 319 488,285 950,5 273 600,546 531
"E-P:n TE-keskus, ESR tekninen tuki, toimeenpano ja hallinnointi",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Pohjanmaan TE-keskus,81 750,47 247,120 250,70 599,602 000,117 846
"E-P:n TE-keskus, ESR tekninen tuki, tiedotus ja viestintä",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Pohjanmaan TE-keskus,800,236,1 200,354,10 000,590
soft-IT - Ohjelmistotuotannon innovatiivinen kehittämismalli,Riksomfattande delen,3,"Närings-, trafik- och miljöcentralen i Norra Österbotten",Verksamhet pågår,1.5.2008,28.2.2010,Lapin yliopisto,98 758,83 258,111 242,93 771,246 895,212 342
"Länsi-Suomen aluekoordinaatio, toimeenpano ja hallinnointi",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Pohjanmaan TE-keskus,48 200,38 517,70 800,56 866,362 900,95 383
"Länsi-Suomen aluekoordinaatio, tiedotus ja viestintä",Riksomfattande delen,5,"Närings-, trafik- och miljöcentralen i Södra Österbotten",Verksamhet pågår,1.1.2008,31.12.2013,Etelä-Pohjanmaan TE-keskus,6 000,3 801,9 000,5 702,93 000,9 503
Manner-Suomen ESR-ohjelman hallinnointi (pl. Itä-Suomi),Riksomfattande delen,5,Arbets- och näringsministeriet,Verksamhet pågår,1.1.2008,31.12.2013,"Työ- ja elinkeinoministeriö, AKY/RAPO",748 163,501 648,1 098 837,736 777,6 464 500,1 238 425
VÄLKKY,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,4.8.2008,31.12.2013,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus",942 615,107 080,1 062 385,121 568,3 143 000,228 648
Työhön Satakuntaan,Riksomfattande delen,4,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,4.8.2008,31.12.2013,Satakunnan TE-keskus,588 865,118 253,661 135,132 616,2 040 900,250 869
Osaavana pidempään työelämässä (Protek),Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Satakunta",Verksamhet pågår,1.6.2008,31.12.2013,Satakunnan ELY-keskus,721 691,135 126,813 309,152 376,1 919 240,287 502
Finnish Music Express,Riksomfattande delen,1,"Närings-, trafik- och miljöcentralen i Tavastland",Verksamhet pågår,1.8.2008,31.12.2011,Sibelius-Akatemia,136 082,17 124,145 289,18 283,755 106,40 407
MAMU ohjauskeskusohjelma - Toimenpiteet,Riksomfattande delen,2,"Närings-, trafik- och miljöcentralen i Österbotten",Verksamhet pågår,1.4.2008,31.8.2011,Pohjanmaan TE-keskus,945 233,272 619,1 064 767,307 422,2 385 000,618 951
