Goedgekeurde EFRO-projecten Doelstelling 2 ‘Regionaal Concurrentievermogen en Werkgelegenheid’ 2007-2013,,,,,,,
Projectnaam,Promotor,,EFRO,Totale kost,EFRO-%,Startdatum,Einddatum
Proactieve Creatie en Management van spin-offs,Katholieke Universiteit Leuven,Het project omvat de implementatie van een nieuwe benadering van de opstart en opvolging van de K.U.Leuven spin-offs. De huidige capaciteit aan spin-off- en innovatiemanagers binnen K.U.Leuven Research&Development (LRD) laat immers nauwelijks ruimte voor een pro-actieve werking waarbij men uitgaat van belangrijke industriële en/of maatschappelijke trends om nieuwe initiatieven op te starten en waarbij men bestaande spin-offs begeleidt in hun groei.,"208,000.00","520,000.00",40.00%,1/1/09,12/31/10
Strategisch Innoveren in Vlaanderen,Universiteit Hasselt - Instituut KIZOK,Het Instituut KIZOK van de Universiteit Hasselt beoogt met Strategisch Innoveren in Vlaanderen een strategische interventie bij KMO‘s om zo bedrijven om maat te begeleiden in hun groeiproces. Op die manier wordt het slapend potentiëel gemobiliseerd en zal elk van de deelnemende bedrijven op individueel niveau beter presteren.,"1,000,000.00","2,500,000.00",40.00%,3/1/09,3/1/11
Platform voor zelfstandig ondernemende vrouwen,Markant - Netwerk van ondernemende vrouwen,"Meer vrouwelijke ondernemers die sterk in hun ondernemersschoenen staan, is goed voor de Vlaamse economie. Om dat economische potentieel voluit aan te spreken is een doelgroepgerichte aanpak nodig. Die doelgroepgerichte aanpak voor vrouwelijke ondernemers moet gebeuren via het aanbieden van aangepaste tools. Een aantal tools werd in het verleden al ontwikkeld, maar er is geen centraal knooppunt om die tools gericht te verspreiden. markant en UNIZO, die beiden over heel wat kennis en expertise beschikken, willen samen een Platform voor zelfstandig ondernemende vrouwen oprichten dat kan fungeren als zo’n centraal knooppunt rond vrouwelijk ondernemerschap.","212,888.93","532,222.33",40.00%,7/1/08,6/30/10
Overname Coach,Unie van Zelfstandige Ondernemers,Concrete acties en tools ontwikkelen en sensibiliseren om een soepele overname van KMO's te stimuleren,"229,259.60","573,149.00",40.00%,7/1/08,6/30/10
Lerend Netwerk Ambtenaren Lokale Economie Vlaams-Brabant,VOKA - Kamer van Koophandel Arrondissement Leuven,"Het project beoogt de creatie van een lerend netwerk van lokale (kmo)ambtenaren, een benchmark van administratieve, fiscale regelgeving op lokaal niveau en het organiseren van netwerkactiviteiten waar bedrijven en lokale overheid ervaringen kunnen delen. Het project richt zich tot het wederzijds beter leren kennen van lokale overheid en bedrijven.","59,448.00","148,620.00",40.00%,1/1/09,12/31/10
TALENTMANAGEMENT: EEN SLEUTEL TOT DUURZAME GROEI,VOKA - Kamer van Koophandel Halle-Vilvoorde,Het project zal vier Lerende Netwerken Talentmanagement oprichten: twee lerende netwerken voor KMO’s (één in de provincie Vlaams-Brabant en één in de provincie Limburg) en twee lerende netwerken bestemd voor grote ondernemingen in beide provincies.,"179,223.00","448,056.00",40.00%,3/1/09,2/28/11
COOP CONSULT,Procura,Dit project biedt een modulair opleidings- en begeleidingsprogramma aan specifiek voor de coöperatieve ondernemingen in Vlaanderen.,"143,019.60","357,549.00",40.00%,1/1/09,12/31/10
Sociale Incubatie,BEDRIJVENCENTRUM DE PUNT,"Met dit project wil De Punt nieuwe bedrijven onderzoeken en opstarten met de bedoeling extra tewerkstelling te creëren. Nadien neemt een manager het bedrijf over, bouwt het verder uit en creëert zo tewerkstelling voor kortgeschoolden. Het project Sociale Incubatie is dus een hefboom: door nu zélf arbeidsintensieve bedrijfjes op te starten, creëren anderen op termijn extra tewerkstelling.","163,600.00","409,000.00",40.00%,12/1/08,11/30/10
EEN FACILITEREND KADER  VOOR DE KLEINE ‘ZWAKKERE’ ZELFSTANDIGE in het arrondissement Leuven,VOKA - Kamer van Koophandel Arrondissement Leuven,"Dit project richt zich op het monitoren, begeleiden en ondersteunen van zelfstandige ondernemers, beginnende vennootschappen met max. 5 personeelsleden en ondernemers in bijberoep die een zelfstandige hoofdactiviteit ambiëren.","43,354.80","108,387.00",40.00%,1/1/09,12/31/10
Uitbouw van een uniek bedrijvenloket,Gemeente Mol,Alle informatie over gemeentelijke producten en diensten die relevant is voor ondernemers wordt gebundeld in een uniek bedrijvenloket en waar mogelijk gekoppeld aan een digitaal aanvraagformulier. Het project heeft als doel om de informatie over alle gemeentelijke producten en diensten die relevant zijn voor starters en ondernemers op de website van de gemeente Mol te bundelen en vlotter toegankelijk te maken.,"12,388.14","30,970.35",40.00%,10/1/08,6/1/10
Uniek Ondernemersloket Kortrijk,Stad Kortrijk,"Het 'uniek' ondernemersloket wordt opgericht, om samen met de publieke en private partners, het ondernemerschap in de regio te bevorderen en heeft als belangrijkste doelgroepen de starters, de groeibedrijven en de potentiële exogene investeerders.","244,769.13","611,922.78",40.00%,1/1/09,12/31/10
StuBry,VOKA - Kamer van Koophandel Oost-Vlaanderen,"Het project wil ondernemerschap promoten bij jonge kansrijke mensen tussen 18 en 35 jaar: studenten, onderzoekers en young potentials binnen bedrijven. Ze worden begeleid voor, tijdens en na de start van hun onderneming in een lerend netwerk.","43,500.00","108,860.00",39.96%,3/1/09,8/31/10
kennisplatform voor starters,Unie van Zelfstandige Ondernemers,Met het Kennisplatform voor starters wil UNIZO alle kennis rond ondernemerschap en het opstarten van een zaak bundelen en toegankelijk maken voor de ondernemerswereld. Dit wordt gekoppeld aan regionale proeftuinen ter ondersteuning van het online kennisplatform.,"430,807.20","1,077,018.00",40.00%,11/1/08,10/31/10
Eerste Hulp bij BouwAdministratie,DIENSTENCENTRUM BOUWUNIE LIMBURG,"E.H.B.A. wil ondernemen in de bouw bevorderen door de deelsectoren intensief te gaan bewerken met nadruk op kennis, vaardigheden en verminderen van de administratieve rompslomp d.m.v. individuele doorlichting en een begeleiding op maat. Om concreet en oplossend bij te dragen tot een imago- en rendementsverbetering wordt met een verdergezet ‘EHBA-plan’ dieper ingegaan op de specifieke noden per sector/doelgroep.","85,440.00","213,600.00",40.00%,12/1/08,11/30/10
Meer ondernemerschap door industriële en diensten spin-offs,"Innovatie-, Technologie- en Kenniscentrum","Creatie van nieuwe ondernemingen vanuit de niet-kernactiviteiten van bestaande bedrijven, en begeleidende acties zoals promotie van de voordelen van spin-offs en workshops voor ondernemers in spé. Doel is te komen tot extra hoogwaardige tewerkstelling door ondernemingsopportuniteiten bij bedrijven te activeren.","747,550.00","1,868,876.92",40.00%,3/17/09,3/16/11
KMO Boost,Schüpp associates,"KMO Boost biedt KMO’s-in-nood bijstand met raad en daad om een succesvol doorstartplan te implementeren. Dankzij coaching, data-analyse en gericht advies rond goede praktijken van operationele processen krijgen deze KMO’s een tweede adem: een stop-het-bloeden op korte termijn en een duurzame doorstart met meer doelgericht ondernemen op middellange termijn. KMO Boost is een gedirigeerd samenwerkingsverband tussen Schüpp Associates en Handson & Partners, dat een volledig adviespalet aanbiedt op gebied van bedrijfsbeheer, marktstrategie, financiën, juridische kwesties, personeelsbeleid, operationeel beleid en innovatie. Om de KMO-in-nood tijdig oplossingen aan te reiken hanteert KMO Boost een uitgekiend instrumentarium - zogenaamde KMO Wijzers - en pasklare, sectorspecifieke adviesmodules.","268,631.85","862,179.63",31.16%,11/2/09,10/31/11
SPK doorstartplan,Strategische Projectenorganisatie Kempen,"Dit project omvat de implementatie van een doorstartplan preventief bedrijfsbeleid. De projectdoelstellingen zijn: 1. Het begeleiden van KMO's die in hun continuïteit bedreigd worden, terwijl er nog voldoende doorstartpotentieel aanwezig is, bij de implementatie van de strategische doorstartplannen. 2. Het verder aanvullen en optimaliseren van de expertendatabank van de Strategische Projectorganisatie Kempen.  3. Het coördineren van de begeleidingen, het leggen van linken, het creëren van synergie en samenwerkingsverbanden waar mogelijk.","178,000.00","560,000.00",31.79%,1/1/10,12/31/11
Zenitor Preventief Bedrijfsbeleid,Tussenstap - zenitor,"Dit project omvat implementatieacties van het doorstartplan in het kader van het Preventief Bedrijfsbeleid. Bedoeling is het verzekeren van de continuïteit van ondernemingen in moeilijkheden via de uitvoering van strategische doorstarttrajecten. Het bedrijf krijgt professionele ondersteuning en concrete oplossingen, met het oog op de continuïteit van gezonde bedrijfsonderdelen. Finaal doel is een ingrijpend en structureel rendementsherstel, primordiale voorwaarde voor een succesvolle ‘turn-around’ en bedrijfsdoorstart. De promotor Zenitor gaat samen met projectpartners, in 5 regionale UNIZO-kantoren, een strategische alliantie aan met een pool van professionele dienstverleners (Essensys Groep, A&B partners en derden-dienstverleners). Zo mobiliseert dit project de externe expertise en knowhow die nodig is om de doorstartplannen in de KMO’s succesvol te maken. De dienstverleners vervullen een cruciale rol in de eigenlijke implementatie. De opdracht van de promotor en de partners omvat de sensibilisering van het nieuwe ondersteuningsaanbod bij de KMO’s.","217,000.00","690,000.00",31.45%,11/1/09,10/31/11
Managen in onzekere tijden,Universiteit Hasselt - Instituut KIZOK,"Dit project omvat de uitvoering en opvolging van 100 strategische implementatietrajecten op maat. Via 3 routes wil het consortium het aantal geïmplementeerde strategische doorstartplannen significant doen toenemen. Bedoeling is in een periode van 24 maanden 100 KMO’s bij te staan bij het implementeren van hun strategische plannen. Vlerick Leuven Gent Management School, Deloitte en UHasselt bundelen hun krachten om bedrijven ten eerst te sensibiliseren, hen persoonlijk te begeleiden en nadien follow-up te borgen. Na afloop van de implementatietrajecten, gebeurt een follow up en tevredenheidsmeting (aangestuurd door UHasselt).","430,000.00","1,400,000.00",30.71%,1/8/10,1/7/12
Project Ondernemings Begeleiding Oekraïne (Company Guidance Ukraine),VOKA - Kamer van Koophandel Oost-Vlaanderen,"Ondernemings Begeleiding Oekraïne (Company Guidance Ukraine) biedt 10 Vlaamse ondernemingen individuele begeleiding bij een marktintroductie in Oekraïne en verstrekt kennis aan een ruim lerend netwerk van in Oekraïne geïnteresseerde bedrijven. VOKA Oost-Vlaanderen staat in voor het werven van de bedrijven, de praktische organisatie en communicatie rond de individuele meetings en seminaries, en houdt de logboeken van het afgelegde parcours bij.","39,000.00","98,020.00",39.79%,1/1/09,3/31/10
International Coach,UNIZO - INTERNATIONAAL,"UNIZO Internationaal wil met het project 'International Coach' Vlaamse ondernemers sensibiliseren, informeren, begeleiden en laten netwerken m.b.t. internationalisatie.","195,284.40","488,211.00",40.00%,10/1/08,9/30/10
Internationaal groeien,VOKA - Kamer van Koophandel Limburg,"Het project omvat de oprichting van een virtueel platform op het internet waarop ervarings- en kennisuitwisseling kan plaatsvinden tussen bedrijven actief op het vlak van internationaal ondernemen. Met dit project wil Voka- Kamer van Koophandel Limburg een laagdrempelig project aanbieden voor bedrijven met interesse in internationaal ondernemen. Het gaat hierbij zowel om bedrijven die hun eerste stappen over de grenzen willen zetten als om bedrijven die al jarenlang ervaring hebben. De activiteiten van de twee doelgroepen zijn deels gescheiden, deels gelijklopend. Bedoeling is door kruisbestuiving tot een maximale kennis-en ervaringsuitwisseling te komen. Doel is de jonge internationale bedrijven in één jaar om te vormen tot ervaren en opgeleide exporteurs.","62,466.00","156,165.00",40.00%,1/1/09,12/31/10
Multimodale containerterminal,Joint Venture Combinant,Met de bouw van een spoorterminal wil men extra capaciteit te creëren in de Antwerpse haven om het intermodale infrastructuurtekort op te vangen. De haalbaarheidsstudie toont aan dat de totale investeringskost in een eerste fase wordt geschat op 30 miljoen euro. ,"4,372,000.00","10,930,000.00",40.00%,8/1/08,3/1/10
Leefbare Haven Zeebrugge,Provincie West-Vlaanderen,Het project Leefbare Haven Zeebrugge legt zich toe op de uitvoering van het Strategisch Plan Haven Zeebrugge. Met eenvoudige ingrepen krijgen openbare ruimtes in woon- en werkzones een waardevollere invulling. Via 5 doelstellingen vertaald in 12 acties wenst dit project de leefbaarheid van de haven gevoelig te verbeteren.,"818,889.00","2,047,222.00",40.00%,4/1/09,3/31/11
Interpom Project Logistiek,POM Limburg,"Met het project Interpom Project Logistiek beogen de Provinciale Ontwikkelings Maatschappijen Limburg, Antwerpen, Oost-Vlaanderen en Vlaams-Brabant de realisatie van regionale en interregionale netwerkstrategieën voor de ontwikkeling van concrete projecten die bijdragen aan de versterking van het aanbod aan logistieke dienstverlening in Vlaanderen. Het project richt zich op het vormgeven en ondersteunen van de netwerken waarin alle actoren betrokken worden en kadert binnen de inspanningen tot de verdere uitbouw van Vlaanderen als logistieke topregio.","785,300.00","1,963,250.00",40.00%,7/1/09,6/30/11
BISY,West-Vlaamse Intercommunale,"De West-Vlaamse Intercommunale ontwikkelt een bewegwijzeringsysteem op basis van een centrale bedrijvendatabank die een digitaal infoscherm aan de ingang van het terrein en een online website zal aansturen. Dit project kadert binnen het duurzaam beheer van bedrijventerreinen en kan leiden tot een verhoogde verkeersveiligheid, een vermindering van de verkeersoverlast en een lagere CO2-uitstoot.","269,070.00","672,674.97",40.00%,10/1/08,9/30/08
Westelijke Ontsluiting Stationsomgeving/bedrijvenzone Koudijs,Gemeentebestuur Diest,Realisatie van een nieuwe gewestelijke ontsluiting als toegang tot de bedrijvenzone Koudijs en de stationsomgeving ter verbetering van de verkeersleefbaarheid en de ontwikkelingsmogelijkheden op deze bedrijvenzone.,"315,078.00","787,694.00",40.00%,10/20/08,10/20/10
Juridische verankering verkoopvoorwaarden bedrijventerreinen,SOLvA,"Een studie met als resultaat het definiëren van sluitende voorwaarden bij de verkoop van gronden van het bedrijventerrein. Hiermee wordt getracht de duurzaamheid te verhogen en meer garanties op lange termijn te bieden.Dit project wordt eerst toegepast bij de verkoop van de gronden van bedrijventerrein Zuid IV (in Erembodegem), later ook bij de verkoop van gronden van andere bedrijventerreinen in de regio.","16,854.66","42,136.38",40.00%,2/28/07,2/27/09
Aarschot op sporen,Stad Aarschot,De stad Aarschot bouwt een langzaam verkeersbrug (fietsers en voetgangers) over de sporen in functie van de realisatie van een nieuwe bedrijvenstrip. Dit moet ervoor zorgen dat het herontwikkelde bedrijventerrein ook voor deze weggebruikers eenvoudig te bereiken valt vanaf het trein- en busstation en het stadscentrum.,"1,584,046.20","3,960,115.51",40.00%,11/1/08,10/31/10
Kristalpark III(b),Stad Lommel,"Nieuwe stap in de ontwikkeling van het industrieterrein Kristalpark III met de uitvoering van archeologisch vooronderzoek en het uitrusten met infrastructuur en nutsvoorzieningen. Dit bedrijventerrein wordt ingedeeld in 4 zones: een zone voor megaprojecten, een regionaal bedrijvenpark, een logistiek park en een groen bedrijvenpark.","8,057,884.93","32,231,539.72",25.00%,6/3/09,6/2/11
DuGlO,West-Vlaamse Intercommunale,"Het project beoogt de realisatie van een duurzame glastuinbouwzone in Oudenburg die gebruik zal maken van restwarmte en CO2 van nabij gelegen bedrijven. Het betreft een studieproject dat zal leiden tot een vervolgproject voor de realisatie van de infrastructuur. Bedoeling is het energieverbruik, dat traditioneel hoog is in de glastuinbouw, drastisch te verminderen. De serres zullen verwarmd worden met restwarmte van nabijgelegen bedrijven zoals Electrawinds en Greenbridge. Bovendien wordt onderzocht hoe de rest-CO2 van bedrijven zoals bv. Proviron, opgevangen kan worden voor gebruik in de serres. Beide maatregelen leiden tot een verminderde uitstoot (tot 25.000 à 30.000 ton/jaar) en een verminderde afhankelijkheid van fossiele brandstoffen. Tuinders en industrie werken in symbiose samen: de tuinders gebruiken restwarmte en rest-CO2 van de industrie die deze op een duurzame wijze kwijtraakt. Daarnaast wordt ook rationeel watergebruik beoogd via het hergebruik van proceswater door de tuinders.","243,064.50","607,661.26",40.00%,6/1/09,5/31/11
Actie voor Starters - materiële component,Provincie West-Vlaanderen,"Dit project vormt, als materiële component van een ruimer en geïntegreerde 'Actie voor Starters' op provinciaal niveau, de noodzakelijke materiële basis voor de realisatie van een startersvriendelijk ondernemingsklimaat. Door de vervollediging van het bestaande netwerk van doorgangsgebouwen en bedrijvencentra en door de geografische spreiding ervan, krijgt West-Vlaanderen een performant instrument om haar startersratio aan te zwengelen. Dit project vormt dan ook, samen met haar immateriële component, een wezenlijk onderdeel van het Provinciaal Economisch Impulsplan dat de voorwaarden wil scheppen voor een dynamisch en innovatief economisch weefsel, met bijzondere aandacht voor starters.","2,375,000.00","13,000,000.00",18.27%,4/15/09,4/14/11
IZ Bree Noord - langs water over water,Stad Bree,Met dit project wenst de stad Bree de loop van de Horstgaterbeek uit te graven en deels om te leggen zodat een optimale benutting van het huidige bedrijventerrein IZ Bree Noord mogelijk wordt. Hierdoor wordt ook de ecologische kwaliteit op de bedrijventerreinen verbeterd en de overlast door de eikenprocessierups aangepakt. Tenslotte maken deze werken het mogelijk om op korte termijn watergebonden activiteiten te ontwikkelen omdat de hele IZ nu bereikbaar wordt.,"106,788.52","355,961.73",30.00%,7/1/07,5/31/09
The Loop - Pégoudlaan,AG Stadsontwikkelingsbedrijf Gent,"Gent, The Loop is een regionaal bedrijventerrein dat voorziet in kantoren, kennisbedrijvigheid, retail, ontspanning én wonen (goed voor een totaal van 552.500m2 vloeroppervlakte). Noodzakelijk voor de realisatie van het project is de aanleg van de wegenis, waaronder de Pégoudlaan.","671,021.58","2,684,086.33",25.00%,4/1/07,12/31/08
The Loop - Ringwegen,AG Stadsontwikkelingsbedrijf Gent,"Gent, The Loop is een regionaal bedrijventerrein dat voorziet in kantoren, kennisbedrijvigheid, retail, ontspanning én wonen (goed voor een totaal van 552.500m2 vloeroppervlakte). Noodzakelijk voor de realisatie van het project is de aanleg van de wegenis, waaronder de Ringwegen.","2,440,071.13","9,197,403.43",26.53%,10/1/09,9/30/09
Wetenschapspark Arenberg,Katholieke Universiteit Leuven,"Wetenschapspark Arenberg voorziet in geschikte infrastructuur voor innovatieve en kennisintensieve bedrijven ontstaan vanuit de kennisinstellingen K.U.Leuven en IMEC. Bij de ontwikkeling van cluster B, die zich richt naar ICT-bedrijven bleek er een probleem met bodemverontreiniging. De K.U.Leuven zal deze met dit project saneren.","130,667.52","435,558.39",30.00%,10/1/07,9/30/09
Verduurzaming Brabantse Poort I: ontsluiting bedrijventerrein via aanleg fiets- en voetgangerstunnel,Provincie Antwerpen,De Brabantse Poort is in volle economische ontwikkeling en wordt ook geconfronteerd met een relatief hoge werkloosheid en vervoersarmoede. De Provincie Antwerpen wil deze regio opwaarderen met een globaal verduurzamingsproject.,"563,526.48","1,878,421.61",30.00%,6/15/09,6/14/11
Lt. Coppenskazerne,Gemeente Brasschaat,De aanleg van een duurzaam bedrijventerrein op een voormalig militair domein.,"1,048,069.60","3,493,565.60",30.00%,10/1/08,10/1/10
Duurzaam kruispunt in Lier,POM Antwerpen,"De werknemers en het vrachtverkeer ondervinden heel wat mobiliteitsproblemen bij hun verplaatsing binnen de cluster van 4 bedrijvenzones in Lier (Hagenbroek, Mallekot, Bollaer en Duwijck) POM Antwerpen wil hieraan tegemoet komen met de aanleg van een duurzaam kruispunt en een aantal flankerende maatregelen (op het vlak van openbaar vervoer, fietsverkeer en carpooling).","232,853.87","776,179.59",30.00%,12/2/09,12/1/11
Revitalisering en herontwikkeling van een bedrijventerrein op site Zolder-Lummen,De Scheepvaart NV,"Door middel van het uitoefenen van het voorkooprecht voor de aankoop watergebonden gebieden is nv De Scheepvaart op 7/02/07 eigenaar geworden van een perceel industriegrond langs het Albertkanaal op het bedrijventerrein Zolder-Lummen in Heusden-Zolder. Op dit terrein staan de oude gebouwen en installaties van veevoederfabrikant Dossche. nv De Scheepvaart heeft op 13/01/09 een stedenbouwkundige vergunning verkregen voor het slopen van deze gebouwen en dus zal in het voorjaar van 2009 gestart worden met alles af te breken en te saneren. Verder zal er ook een ontbossing plaatsvinden om op die manier een kwaliteitsvol, hoogwaardig en bimodaal watergebonden bedrijventerrein te creëren met een grootte van ca. 9 ha. Dit terrein is eveneens opgenomen in het ENA-project als zijnde een mogelijkheid tot inbreiding. Ingevolge het besluit van de Vlaamse Regering van 23 april 2004 omtrent de nadere uitwerking van het ENA dienen inbreidingsgebieden als prioritair behandeld te worden. Een nieuwe interne ontsluitingsweg en een eventuele renovatie van de kade zal ervoor zorgen dat we aan minimaal 3 bedrijven met watergebonden activiteiten een kwaliteitsvolle huisvestigingsmogelijkheid kunnen bieden. Deze infrastructuurwerken zijn geen onderdeel van dit EFRO-project.","235,382.33","784,607.78",30.00%,1/1/09,12/1/09
Waterschei bedrijventerrein,Stad Genk,"Creatie van 30 ha nieuwe ruimte voor bedrijven met de ontwikkeling. Tijdens deze eerste fase wordt een centrale as aangelegd, die verbonden wordt met de André Dumontlaan. Deze as ontsluit het zuidelijk en westelijk deel van het terrein.","2,052,415.17","6,874,716.96",29.85%,8/1/08,3/31/10
Amival: modernisering van de gebouwen met oog op iso-certificering,Arbeid voor Minder-Validen,"Verbouwingswerken aan de infrastructuur van Amival (Arbeid voor Minder-Validen), met als doel nieuwe sectoren (o.a. farmaceutische en chemiesector) aan te boren voor het werk in de beschutte werkplaats.","800,000.00","4,349,130.84",18.39%,7/1/07,6/30/09
Bedrijvencentrum voor sociale economie,SPIT - Tewerkstelling,"Realisatie van een bedrijvencentrum voor de sociale economie van Leuven op de voormalige veilingsite in Heverlee. Deze bouw zorgt ervoor dat ca 450 werknemers, cursisten en medewerkers van de sociale economie van Leuven in optimale omstandigheden kunnen werken.","921,850.00","4,327,542.03",21.30%,12/1/07,11/30/09
Xpo als internationale poort - materiële component,XOM NV,"XOM NV beoogt de uitbouw van Kortrijk Xpo tot een internationale poort voor West-Vlaanderen en het Eurodistrict Lille-Kortrijk-Tournai, met een gespecialiseerde dienstverlening om zo de overdracht van buitenlandse kennis, de internationale netwerkvorming en verhandelings- en investeringstrajecten te bevorderen.","4,360,647.00","10,901,618.00",40.00%,10/1/08,3/31/10
Regionaal Lascentrum,LASCENTRUM arrondissement Mechelen,"Dit project beoogt de bouw en inrichting van een regionaal lascentrum in het arrondissement Mechelen. Doelstelling is de kloof tussen het onderwijs en de arbeidsmarkt binnen de sector van het lassen (een knelpuntberoep) te verminderen. Finale doelgroepen zijn dan ook het onderwijs, andere publieke en private opleidingsverstrekkers en het bedrijfsleven.","1,486,681.00","3,716,702.00",40.00%,10/23/08,10/22/10
Huis van de sociale economie,Gemeente Denderleeuw,Het project ‘Huis van de Sociale Economie’ behelst de aankoop en inrichting van een gebouw (243m_)/bedrijfsruimte in de Denderleeuwse stationsbuurt met het oog op het ter beschikking stellen van de ruimten aan initiatieven binnen de sociale economie.,"135,000.00","337,500.00",40.00%,9/1/08,8/30/10
Uitbreiding VDAB Maritiem,VDAB,"Het Maritiem Centrum van de VDAB in Zeebrugge is met 9.350 cursisturen in 2000 tot 64.937 cursisturen in 2007 fors gegroeid. Om te voldoen aan de internationale regelgeving, de forse groei van de havens en om opleidingen te kunnen organiseren voor bemanningsleden van het machinedepartement is de uitbreiding van de huidige infrastructuur noodzakelijk. Hierdoor kan het Maritiem Centrum ook een oplossing bieden aan het bemanningstekort, door enerzijds kansengroepen op te leiden tot de kansberoepen binnen de maritieme sector en door anderzijds via reconversie vissers te leiden naar deze kansenberoepen.","1,493,159.21","3,732,898.03",40.00%,6/15/09,6/14/11
FaLoMi management voor Bio-technologie bedrijven,Bio-Incubator Leuven,"Momenteel is het voor Bio-tech bedrijven zeer moeilijk om bedrijfsruimte te vinden waar laboactiviteiten ontplooid kunnen worden. De nv Bio-Incubator Leuven wil hier aan tegemoetkomen.Het project FaLoMi management voor Bio-technologische bedrijven voorziet begeleiding bij het aanvragen van de nodige milieuvergunningen, bij het zoeken naar oplossingen omtrent de facilitaire behoeften en bij het zoeken naar oplossingen van de logistieke problemen.","65,680.00","164,200.00",40.00%,9/1/08,8/31/10
Bio-Incubator,Bio-Incubator Leuven,"Momenteel is het voor Bio-tech bedrijven zeer moeilijk om bedrijfsruimte te vinden waar laboactiviteiten ontplooid kunnen worden. De nv Bio-Incubator Leuven wil hier aan tegemoetkomen. Bio-Incubator wenst met de tweede fase van een high-tech/bio-tech gebouw zelf laboratoriumruimte met bijhorende kantoorruimtes, gemeenschappelijke vergaderzalen en service pakkets ter beschikking te stellen aan spin-off’s en spin-outs van bio-technologiebedrijven.","1,970,470.00","7,851,113.84",25.10%,1/22/10,1/21/12
CVE voor het Meetjesland,DE KRINGWINKEL MEETJESLAND,"Kringloopcentrum Meetjesland krijgt steun voor de uitbouw van een centrale verwerkingseenheid (CVE) annex kringloopwinkel voor kringloopactiviteiten in het Meetjesland, aangepast aan de noden van de organisatie en het personeel en met prioritaire aandacht voor duurzaam ondernemen en bouwen en rationeel energieverbruik.","247,195.97","1,647,973.12",15.00%,6/1/08,5/30/10
Kazerne Michotte,Centrum voor basiseducatie Leuven-Hageland,"Het Centrum voor Basiseducatie Leuven-Hageland wil de Kazerne Michotte renoveren tot nuttige economische ruimte. Er wordt maximaal gebruik gemaakt van duurzame materialen en technieken. Het centrum zal basiseducatie, vorming en opleiding aanbieden, rekening houdend met de concrete noden van de bedrijven. Men zal zich richten op kortgeschoolde volwassenen, werkzoekenden zowel als werknemers, met het oog op verbetering van hun positie op de arbeidsmarkt.","404,107.00","2,396,801.00",16.86%,10/22/09,10/21/11
Inrichting terrein havenopleidingen Zeebrugge,Compensatiefonds voor Bestaanszekerheid voor de Haven van Zeebrugge,Het Compensatiefonds voor Bestaanszekerheid voor de Haven van Zeebrugge gebruikt Europese steun voor de inrichting van een terrein voor de organisatie van praktijkopleidingen voor de havenarbeiders. Op dit opleidingsterrein wil men de cursisten de praktische basisopleiding geven en zodoende een oplossing bieden voor de problemen inzake beschikbaarheid van machines en materieel.,"427,425.43","1,068,563.57",40.00%,12/1/08,11/30/10
Campus TIO_,Stad Ronse,"Ronse heeft op Vlaams niveau één van de zwakste socio-economische profielen. Met het project Campus TIO_ wil het OCMW Ronse de volgende generatie een economische toekomst bieden in hun eigen stad. Dit doen ze door het meest toonaangevende gebouw van Ronse, de Campus Delghuest (voormalig ziekenhuis gebouw) om te bouwen tot een centrum voor ondernemerschap, opleiding en ontmoeting, met focus op textiel en innovatie.","2,542,755.33","7,834,363.93",32.46%,9/1/09,9/1/11
Sociale Campus Spiegelfabriek Herentals,OCMW Herentals,"Het OCMW realiseert een nieuwbouw op een te saneren bedrijfsterrein in het centrum van Herentals. In deze ‘Sociale Campus Spiegelfabriek’ komt een kringloopwinkel, sociale organisaties die zich richten tot kansengroepen en ruimtes voor OCMW opleidings- en tewerkstellingstrajecten voor kansengroepen.","1,088,477.28","2,721,193.20",40.00%,12/3/09,12/2/11
Uitbreiding vestiging Kringwinkel Tongeren met uitbouw van een textiel sorteringscentrum,Kringloopcentrum De Koop,"Kringloopcentrum De Koop breidt met EFRO-steun de Kringwinkel Tongeren uit met een textielsorteringscentrum (450m_ winkel en 400m_ magazijn) Hierdoor kan economischer en geordend gewerkt worden waardoor een hogere omzet en bijkomende tewerkstelling kan worden gerealiseerd. Dit project wordt uitgevoerd in de Gasthuisbosdreef 31, 3700 Tongeren","65,771.46","263,085.86",25.00%,1/1/09,7/1/10
Centrum voor creatieve bedrijsinnovatie en ondernemerschap,Stad Genk,Het project Centrum voor creatieve bedrijfsinnovatie en ondernemerschap van de Stad Genk maakt deel uit van de ontwikkeling van de voormalige mijnsite van Winterslag tot creativiteitssite. In het kader van C-Mine wordt een krachtige cluster van projecten rond creatieve economie ontwikkeld. Deze cluster omvat verschillende onderdelen waaronder de realisatie van dit centrum in het hoofdgebouw. Dit EFRO-project behelst de realisatie van ruimtes die ter beschikking staan voor de organisaties en projectontwikkelingen op het gebied van creatieve economie.,"1,453,974.00","3,634,936.00",40.00%,12/2/09,12/1/11
Logistiek Platform West-Poort - Materiële component,Provincie West-Vlaanderen,Het project beoogt de realisatie van een operationeel ankerpunt voor het Logistiek Platform West-Poort door de realisatie van een minimale kantoor- en vergaderfaciliteit en dit op een strategische locatie in Zeebrugge.,"140,000.00","780,000.00",17.95%,1/15/10,1/14/12
