Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
"Region Warmińsko - Mazurski NSZZ ""Solidarność""",Warmińsko-Mazurskie Centrum CSR,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.3 Wzmacnianie lokalnego partnerstwa na rzecz adaptacyjności,"646,835.64","642,865.95",2008,2009
Regionalna Izba Gospodarcza,Od podstaw do samodzielnego księgowego,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"257,917.88","248,025.51",2009,2010
Regionalna Izba Gospodarcza,"Nowa wiedza, nowe kwalifikacje, nowa szansa dla mieszkańców gminy Bukowsko",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"46,360.00","45,871.06",2008,2010
Regionalna Izba Gospodarcza,Wiedza i kwalifikacje zawodowe kluczem rozwoju mieszkańców gminy wiejskiej Sanok,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"46,504.00","46,011.14",2008,2010
Regionalna Izba Gospodarcza w Kutnie,POZWÓL SOBIE POMÓC,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"577,700.68","560,205.97",2008,2009
Regionalna Izba Gospodarcza w Starachowicach,Teraz ja i moja firma,Program Operacyjny Kapitał Ludzki,6.2. Wsparcie oraz promocja przedsiębiorczości i samozatrudnienia,,"1,096,008.96","960,886.75",2008,2009
Regionalne Centrum Informacji i Wspomagania Organizacji Pozarządowych,ABC o Ekonomii Społecznej na Pomorzu,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"298,429.00","293,208.10",2008,2010
Regionalne Centrum Integracji Europejskiej,Aktywna integracja w Gminie Skrwilno,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"47,012.60","46,996.26",2009,2010
Regionalne Centrum Polityki Społecznej w Łodzi,Wsparcie i podnoszenie kwalifikacji zawodowych kadr pomocy i integracji społecznej.,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,837,857.00","1,762,881.66",2007,2009
Regionalne Centrum Polityki Społecznej w Łodzi,Wsparcie i podnoszenie kwalifikacji zawodowych kadr pomocy i integracji społecznej,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"2,145,590.00","2,013,381.16",2009,2010
Regionalne Centrum Wolontariatu,Wolontariusz 50+ na piątkę z plusem,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"545,080.67","544,336.65",2008,2009
Regionalne Centrum Wolontariatu ,EX-ANTE,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"97,621.60","97,619.79",2008,2009
"Regionalne Stowarzyszenie Inicjatyw ""IMPULS""",Nowa droga - nowa praca,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"50,000.00","49,964.37",2008,2010
Regionalne Towarzystwo Inwestycyjne S.A.,Gotowi na sukces,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,650.92","48,856.98",2008,2010
Regionalne Towarzystwo Inwestycyjne S.A.,"Biuro partnerstwa - integracja, animacja , rozwój.",Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"97,183.68","92,188.11",2008,2009
Regionalne Towarzystwo Inwestycyjne S.A.,Przekaż dalej,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,802.80","48,001.87",2008,2009
Regionalne Towarzystwo Inwestycyjne S.A.,Uwierz w Siebie.,Program Operacyjny Kapitał Ludzki,7.3. Inicjatywy lokalne na rzecz aktywnej integracji,,"49,947.50","49,487.50",2009,2010
"Regionalne Towarzystwo Rolno-Przemysłowe ""Dolina Strugu""",Właściwe kwalifikacje drogą do zatrudnienia,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"524,457.00","515,264.15",2008,2010
"Regionalne Towarzystwo Rolno-Przemysłowe ""Dolina Strugu""",Nauka języka angielskiego dla organizacji pozarządowych i instytucji samorządowych w Dolinie Strugu,Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"47,940.00","47,879.61",2008,2010
Regionalny Ośrodek Polityki Społecznej - na prawach Departamentu Urzędu Marszałkowskiego Woj. Warmińsko-Mazurskiego,"Efektywnie, Fachowo, Skutecznie na Warmii i Mazurach",Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,812,158.50","1,365,796.33",2008,2009
Regionalny Ośrodek Polityki Społecznej na prawach Departamentu Urzędu Marszałkowskiego Woj. Warmińsko-Mazurskiego,"Efektywnie, Fachowo, Skuteczni na Warmii i Mazurach",Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,707,816.00","1,498,699.59",2008,2010
Regionalny Ośrodek Polityki Społecznej w  Opolu,"""Podnoszenie kwalifikacji kadry pomocy i  integracji społecznej w województwie opolskim""",Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,759,461.00","1,747,821.17",2008,2009
Regionalny Ośrodek Polityki Społecznej w Krakowie,Szkolenie i doskonalenie zawodowe kadr pomocy społecznej,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"3,154,972.00","2,582,572.06",2007,2009
Regionalny Ośrodek Polityki Społecznej w Krakowie,Szkolenie i doskonalenie zawodowe kadr pomocy społecznej  ,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"2,724,000.00","2,330,244.86",2008,2010
Regionalny Ośrodek Polityki Społecznej w Poznaniu,Podnoszenie kwalifikacji kadr pomocy i integracji społecznej w Wielkopolsce,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,878,909.00","1,612,265.87",2008,2010
Regionalny Ośrodek Polityki Społecznej w Poznaniu,Podnoszenie kwalifikacji kadr pomocy i integracji społecznej w Wielkopolsce ,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"3,365,959.00","3,139,020.52",2009,2010
Regionalny Ośrodek Pomocy Społecznej -Departament Polityki Społecznej Urzędu Marszałkowskiego Województwa Pomorskiego,Przygotowanie jednostek organizacyjnych pomocy społecznej do efektywnego pozyskiwania środków z EFS - szkolenie z zakresu planowania i rozliczania budżetu projektu systemowego ,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"80,000.00","79,530.00",2008,2008
Regionalny Ośrodek Pomocy Społecznej -Departament Polityki Społecznej Urzędu Marszałkowskiego Województwa Pomorskiego,Doskonalenie kompetencji zawodowych pracowników pomocy społecznej w województwie pomorskim,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,201,502.00","1,016,875.53",2008,2009
Regionalny Szpital Specjalistyczny im. dr. Władysława Biegańskiego w Grudziądzu,"Wyposażenie Pracowni Hemodynamicznej w Regionalnym Szpitalu Specjalistycznym w Grudziądzu
",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,3.2. Rozwój infrastruktury ochrony zdrowia i pomocy społecznej,,"8,292,496.09","5,390,122.45",2008,2009
"Regionalny Związek Rolników, Kółek i Organizacji Rolniczych","Rozwój inicjatyw edukacyjnych na terenie gmin: Gryfów Śląski, Lwówek Śląski, Świerzawa.",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,822.32","47,060.31",2009,2010
"Regionalny Związek Rolników, Kółek i Organizacji Rolniczych","Rozwój inicjatyw edukacyjnych na terenach gmin: Lubań, Stara Kamienica i Podgórzyn.",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,937.32","45,773.74",2009,2010
"Regionalny Związek Rolników, Kółek Rolniczych i Organizacji Rolniczych","Edukacyjny rozwój mieszkańców gmin: Krotoszyce, Chojnów i Miłkowice",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,444.52","44,464.07",2009,2010
"Regionalny Związek Rolników, Kółek Rolniczych i Organizacji Rolniczych","Edukacyjny rozwój mieszkańców gmin: Legnickie Pole, Kunice i Prochowice.",Program Operacyjny Kapitał Ludzki,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,,"49,564.52","39,530.00",2009,2010
Rehamedica Sp. z o.o.,Wzrost konkurencyjności firmy Rehamedica Sp. z o.o. przez inwestycje w środki trwałe.,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsiębiorczości,1.1.2 Inwestycje w mikroprzedsiębiorstwach,"108,723.01","64,690.18",2009,2010
"REIFEN SERWIS Daniel Piechnik, Lidia Geisheimer Spółka jawna",Zakup urządzeń do profesjonalnej obsługi pojazdów,Regionalny Program Operacyjny Województwa Lubuskiego,2.2 Poprawa konkurencyjności małych i średnich przedsiębiorstw poprzez inwestycje.,,"223,723.60","80,687.20",2008,2010
REJON BUDOWY DRÓG I MOSTÓW W KROŚNIE SPÓŁKA Z O.O.,„Wytwórnia Mas Mineralnych na zimno”,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"2,804,780.00","1,199,925.00",2008,2009
Rejonowa Stacja Pogotowia Ratunkowego Samodzielny Publiczny Zakład Opieki Zdrowotnej w Poznaniu,Poprawa efektywności systemu ochrony zdrowia w Wielkopolsce poprzez wymianę ambulansów przez Rejonową Stację Pogotowia Ratunkowego w Poznaniu.,Program Operacyjny Infrastruktura i Środowisko,XII.1. Rozwój systemu ratownictwa medycznego,,"1,938,272.28","1,508,135.99",2008,2009
REJS Sp.zo.o.,Udział firmy REJS sp.zo.o. w charakterze wystawcy w 50 targach INTERZUM w Kolonii w dniach 13-16 maja 2009r.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"325,740.00","92,257.63",2009,2010
Renata Bieniek Firma Handlowo Usługowa,Zakup pompogruszek do świadczenia usług pompowania betonu towarowego,Regionalny Program Operacyjny Województwa Opolskiego,1.1 Rozwój przedsiębiorczości,1.1.2 Inwestycje w mikroprzedsiębiorstwach,"918,000.00","549,825.99",2009,2010
REPROSERWIS USŁUGI GRAFICZNE Sp. z o.o.,"Podniesienie poziomu innowacyjności spółki REPROSERWIS poprzez zakup linii technologicznej do produkcji skomplikowanych form drukowych
",Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"1,969,846.70","837,984.36",2008,2010
Res Motors Spółka z ograniczona odpowiedzialnością,Unowocześnienie usług w firmie Res Motors poprzez wdrożenie innowacyjnej technologii diagnostyki i serwisu samochodowego,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"392,505.23","176,949.06",2008,2010
Res Primae mgr Jan Krysiak,"Umiejętność i Doświadczenie, czyli językowe wsparcie Twojego doświadczenia zawodowego",Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"161,567.66","161,357.88",2007,2009
"ResCater s.c. Anna Dobosz, Michał Dobosz",Rozbudowa przedsiębiorstwa ResCater poprzez zakup nowoczesnego sprzętu i wyposażenia na potrzeby uruchomienia działalności gastronomicznej. ,Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"348,737.00","88,936.24",2008,2010
RESGRAPH,B2B nową ścieżką rozwoju dla partnerów biznesowych Firmy RESGRAPH.,Program Operacyjny Innowacyjna Gospodarka,8.2. Wspieranie wdrażania elektronicznego biznesu typu B2B,,"481,077.00","232,470.00",2008,2010
"Revital Gabinet Kardiologiczny Spółka Cywilna Krzysztof Gołba, Jolanta Biernat",Modernizacja gabinetu kardiologicznego firmy Revital poprzez zakup nowoczesnego wyposażenia diagnostycznego,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"41,645.00","20,168.91",2008,2010
Rewa Sp. z o.o.,Uruchomienie produkcji siłowników z zastosowaniem innowacyjnej technologii zgrzewania tarciowego FSW,Program Operacyjny Innowacyjna Gospodarka,4.4. Nowe inwestycje o wysokim potencjale innowacyjnym,,"10,461,622.00","5,300,474.54",2008,2010
"Rex-Druk Remigiusz Kowalski, Roman Kowalewski",Wzrost konkurencyjności na rynku międzynarodowym drukarni Rex-Druk poprzez wdrożenie innowacyjnych rozwiązań procesowych w zakresie druku offsetowego,Regionalny Program Operacyjny Województwa Zachodniopomorskiego,1.1. Wzrost konkurencyjności przedsiębiorstw poprzez innowacyjne inwestycje,1.1.1. Inwestycje w mikroprzedsiębiorstwa,"3,004,860.00","1,000,000.00",2008,2010
RMR Modern Fashion Group Sp. z o.o.,Biznes skrojony na miarę - aktywizacja zawodowa w Gminie Radziechowy-Wieprz,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"46,890.00","45,206.96",2009,2010
RMR Modern Fashion Group Sp. z o.o.,Kierunek - praca bez zakrętów - aktywizacja zawodowa mieszkańców Gminy Wilamowice.,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"45,713.60","44,622.58",2008,2009
RMR Modern Fashion Group Sp. z o.o.,Przyszłość szyta na miarę - aktywizacja zawodowa kobiet w Gminie Wilamowice.,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,696.00","48,076.17",2008,2009
RMR Modern Fashion Group Sp. z o.o.,Przyszłość szyta na miarę - aktywizacja zawodowa kobiet w Gminie Radziechowy - Wieprz,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"49,696.00","47,265.04",2008,2009
RMR Modern Fashion Group Sp. z o.o.,Kierunek - praca bez zakrętów - aktywizacja zawodowa mieszkańców Gminy Radziechowy - Wieprz,Program Operacyjny Kapitał Ludzki,6.3. Inicjatywy lokalne na rzecz podnoszenia poziomu aktywności zawodowej na obszarach wiejskich,,"45,713.60","44,903.18",2008,2009
Robert Kijowski Prywatny Gabinet Dermatologiczny,Nowoczesna dermatologia,Regionalny Program Operacyjny Województwa Podkarpackiego,1.1. Wsparcie kapitałowe przedsiębiorczości,,"305,205.16","197,798.35",2008,2010
"Robert Kowalski i Karol Kowalski ""Stolarstwo"" s.j.",Innowacje w produkcji drzwi wewnętrznych,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"1,505,198.10","86,908.27",2008,2009
"Robert Kowalski i Karol Kowalski ""Stolarstwo"" Spółka Jawna",URUCHOMIENIE PRODUKCJI OKIEN PASYWNYCH,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"2,123,246.08","1,146,781.05",2009,2010
"Roboty Ziemne Firma Usługowa ""KRET"", Biziewski Ryszard",MAZOWIECKI KRET - rozwój przedsiębiorstwa poprzez dostosowanie się do wymogów rynkowych w usługach budowlanych.,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsiębiorczości,,"610,000.00","300,000.00",2008,2009
"Roboty Ziemne, Transport Ciężarowy Józef Karpała","Recykling gruzu budowlanego - efektywne wykorzystanie materiałów pochodzących z rozbiórki, dzięki nowej usłudze wprowadzonej przez R.Z.T.C Karpała. ",Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"1,403,000.00","459,200.00",2009,2009
"ROBOTY ZIEMNE, TRANSPORT CIĘŻAROWY Szczepański Dariusz",Wzrost konkurencyjności firmy poprzez zakup innowacyjnej koparki kołowej,Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"746,054.40","305,000.00",2008,2010
"RODLEW S.C. Rojek Janusz,  Rojek Jerzy",Nowatorska technologia produkcji odlewów oraz wyrobów ze stali kwasoodpornej - szansą rozwoju potencjału firmy RODLEW S.C. z Rybnika.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.1. Mikroprzedsiębiorstwa,"381,250.00","183,941.99",2008,2010
ROGUM KABLE Sp.z o.o.,Zakup 16-biegowej linii ciągarniczej model MT8N.2x8.21 (MT80) wraz z wielobranżową żarzarką model R2OM.16.16.3500 (RC200) i 2 dynamicznymi nawijarkami model TE/80-N (BD800),Regionalny Program Operacyjny Województwa Pomorskiego,"1.1. Mikro, małe i średnie przedsiębiorstwa",1.1.2. Małe i średnie przedsiębiorstwa,"1,996,627.60","755,888.43",2008,2010
Rolldruk Producent Etykiet Samoprzylepnych Artur Tomasz Nowaczyk,Zastosowanie innowacyjnej technologii naświetlania cyfrowego w procesie produkcji wielobarwnych etykiet,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"976,000.00","465,690.94",2009,2010
Rolnicze Przedsiębiorstwo Produkcyjno-Handlowe CONTACTUS Spółka z ograniczoną odpowiedzialnością,Wzmocnienie pozycji oraz promocja przedsiębiorstwa Contractus sp. z o.o. poprzez udział w Białoruskim Tygodniu Rolniczo-Przemysłowym BELAGRO 2009 w Mińsku,Regionalny Program Operacyjny Województwa Podlaskiego,1.2. Region atrakcyjny inwestycjom,1.2.2 Promocja gospodarcza regionu,"46,357.21","22,650.13",2009,2009
Roltex Sp. z o.o.,Wyposażenie przedsiębiorstwa w innowacyjne maszyny i urządzenia,Regionalny Program Operacyjny Województwa Lubuskiego,2.2 Poprawa konkurencyjności małych i średnich przedsiębiorstw poprzez inwestycje.,,"3,956,628.94","1,145,922.21",2008,2010
Roman Borczyk Klinika Implantologii i Stomatologii Estetycznej Spółka Jawna,"Rozbudowa ""Roman Borczyk Klinika Implantologii i Stomatologii Estetycznej Spółka Jawna"" celem świadczenia nowych i ulepszonych usług",Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"1,108,123.32","664,350.25",2008,2010
Roman Wiertelak Mechanika Pojazdowa - Blacharstwo Diagnostyka Komputerowa,Rozszerzenie działalności gospodarczej w wyniku zakupu linii technologicznej lakierni wraz z piecem ,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"268,400.00","126,455.52",2008,2009
ROM-BUD Jędruszczak Spółka Jawna,Rozbudowa firmy w oparciu o innowacyjne rozwiązania zastosowane w nowych liniach produkcyjnych.,Regionalny Program Operacyjny Województwa Lubelskiego,1.2. Dotacje inwestycyjne dla mikroprzedsiębiorstw,,"1,110,200.00","546,000.00",2008,2009
Ronach Okucia Meblowe Robert Tyblewski,"Zakup środków trwałych i oprogramowania dla wprowadzenia nowej usługi doradztwa technicznego, celem wzmocnienia pozycji konkurencyjnej firmy.",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"130,296.00","63,960.00",2008,2009
"ROPAM ELEKTRONIK S.C. ROBERT MOLUS, PAWEŁ CYGAL, ROBERT HODUREK",Wzrost konkurencyjności Ropam Elektronik s.c. poprzez rozwój działu produkcyjnego i inwestycje w nowoczesny park maszynowy,Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"527,650.00","163,656.99",2008,2009
ROPS na prawach departamentu Urzędu Marszałkowskiego Województwa Pomorskiego,Doskonalenie kompetencji zawodowych pracowników pomocy społecznej w województwie pomorskim,Program Operacyjny Kapitał Ludzki,7.1. Rozwój i upowszechnienie aktywnej integracji,7.1.3 Podnoszenie kwalifikacji kadr pomocy i integracji społecznej,"1,000,000.00","883,517.11",2009,2010
Rorets Polska Sp. z o.o. ,Wzrost konkurencyjności przedsiębiorstwa Rorets Polska Sp. z o.o. poprzez zakup zaawansowanej technologicznie linii do gięcia i kształtowania prętów.,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.2. Wsparcie rozwoju MSP,Schemat I: Projekty inwestycyjne,"582,856.88","291,428.44",2009,2010
ROTOMAT Spółka z ograniczoną odpowedzialnością,"Stworzenie Planu Rozwoju Eksportu spółki ROTOMAT z Wrocławia, w celu rozwoju eksportu przedsiębiorstwa",Program Operacyjny Innowacyjna Gospodarka,6.1. Paszport do eksportu,,"12,500.00","10,000.00",2009,2010
ROTOR Sp. z o.o.,Wzrost konkurencyjności spółki ROTOR z Bydgoszczy poprzez dywersyfikację prowadzonych działalności,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.2. Wsparcie inwestycji przedsiębiorstw,"205,683.46","99,054.28",2009,2010
Royal Bussines Sp.z o.o,Stworzenie portalu z kompleksowym zestawem e-usług dla branży fryzjerskiej,Program Operacyjny Innowacyjna Gospodarka,8.1. Wspieranie działalności gospodarczej w dziedzinie gospodarki elektronicznej,,"1,157,128.00","803,283.88",2009,2010
RT Project Robert Jankowicz,"""Rozbudowa o nowe moduły i funkcjonalności platformy Rt onTime do zarządzania rozładunkami""",Regionalny Program Operacyjny Województwa Małopolskiego,2.1. Rozwój i podniesienie konkurencyjności przedsiębiorstw,Schemat A: Bezpośrednie wsparcie inwestycji w  MŚP,"129,575.20","30,447.21",2008,2009
RUBYCO Spółka z ograniczoną odpowiedzialnością,Nowe usługi oraz ulepszenie produkcji bieżącej dzięki inwestycji w linię technologiczną do druku flexograficznego z wykorzystaniem proekologicznych folii oraz papieru.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"1,329,800.00","654,000.00",2008,2010
Rudnik Sp z o.o.,Innowacja organizacyjna – szeroki wachlarz usług – Rudnik Sp z o.o,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsiębiorczości,,"137,048.03","66,313.20",2008,2009
Rudnik Sp z o.o.,Innowacja szansą na lepsze jutro - modernizacja przedsiębiorstwa Rudnik Sp. z o.o.,Regionalny Program Operacyjny Województwa Mazowieckiego,1.5. Rozwój przedsiębiorczości,,"126,585.98","61,144.28",2008,2009
Rudpol-OPA Spółka z Ograniczoną Odpowiedzialnością,Wzrost konkurencyjności firmy Rudpol-OPA Sp. z o.o. poprzez udział w misji gospodarczej powiązanej z targami odbywajacymi w Paryżu we Francji.,Regionalny Program Operacyjny Województwa Śląskiego,1.2. Mikroprzedsiębiorstwa i MŚP,1.2.2. Małe i Średnie Przedsiębiorstwa,"35,150.00","12,339.18",2009,2010
"Rudzka Agencja Rozwoju ""Inwestor"" Sp. z o.o.",Wsparcie koncepcji rozwoju instytucji ekonomii społecznej,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.2 Wsparcie ekonomii społecznej,"923,603.10","909,756.81",2008,2010
Rumszewicz Sailing Tomasz Rumszewicz Mchał Rumszewicz Spółka jawna,Zakup sprzetu zeglarskiego niezbednego do rozszerzenia działalnosci firmy Rumszewicz Sailing sp.j.,Regionalny Program Operacyjny Województwa Warmińsko-Mazurskiego,1.1.Wzrost konkurencyjności przedsiębiorstw,1.1.9. Inne inwestycje w przedsiębiorstwa,"405,040.00","166,000.00",2008,2009
RURGAZ Spółka z ograniczoną odpowiedzialnością,Wzmocnienie pozycji konkurencyjnej firmy RURGAZ Sp. z o.o. poprzez wdrożenie innowacji na skalę światową w zakresie produkcji rur i kształtek dużogabarytowych,Regionalny Program Operacyjny Województwa Lubelskiego,1.3. Dotacje inwestycyjne dla małych i średnich przedsiębiorstw,,"4,110,440.00","1,997,869.61",2008,2010
RUTKOWSKI LTD Sp. z o.o.,Udział firmy RUTKOWSKI LTD jako wystawcy w 20-tej edycji międzynarodowych targów Tour Salon w dniach 21-24 października 2009r. w Poznaniu (Polska).,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"107,360.00","51,485.40",2009,2010
RWD PROSPECT Sp. z o.o.,Budowa internetowej sieci szkieletowej w firmie RWD PROSPECT,Program Operacyjny Innowacyjna Gospodarka,"8.4. Zapewnienie dostępu do Internetu na etapie ""ostatniej mili""",,"744,200.00","419,999.93",2009,2010
RYSA Sandra Rykowska ,"Uruchomienie inteligentnej, interaktywnej internetowej porównywarki firm i usług ",Program Operacyjny Innowacyjna Gospodarka,8.1. Wspieranie działalności gospodarczej w dziedzinie gospodarki elektronicznej,,"116,510.00","81,175.00",2008,2010
