Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
,,,O_rodek Doskonalenia Nauczycieli w Poznaniu,Kszta_cenie ustawiczne - _wiatowym standardem mistrzostwa w ka_dym zawodzie,5-Jan-14,1-Sep-14,13-Nov-13,398967.35
,,,"Polsko - Niemieckie Przedsi_biorstwo Szkolenia, Doradztwa i Konsultingu ""Profi - Kurs"" Sp. z o.o.",Na nauk_ nigdy nie jest za pó_no,2-Sep-12,1-Oct-13,6-Nov-12,460138
,,,"Polsko-Niemieckie Przedsi_biorstwo Doradztwa, Szkolenia i Konsultingu Profi-Kurs Sp. z o.o. ",Potencja_ jednostki miar_ regionalnego rozwoju,2-Feb-14,1-Jan-15,4-Mar-14,483988
,,,"Szkoleniowiec PHSU Krystyna Tuczy_ska, Roman Tuczy_ski",NOWOCZESN@ SZKO_A. Nowa oferta edukacyjna ZSR CKP w Kaczkach _rednich,21-Aug-12,1-Aug-14,10-Dec-12,815960
,,,Verbum Sp. z o.o.,Kszta_cenie umiej_tno_ci informatycznych - zyskiem dla _ycia Wielkopolan ,2-Jan-14,1-Oct-15,11-Nov-13,1088264.44
,,,,Papier na j_zyk - wizytówk_ wykszta_conego pracownika,2-Aug-12,1-Aug-14,4-Dec-12,1830143.43
,,,"Wy_sza Szko_a Zawodowa ""Kadry dla Eurropy""",Wykszta_ceni Wielkopolanie,2-Feb-14,1-Nov-14,14-Jan-14,618778
,,9.4. Wysoko wykwalifikowane kadry systemu o_wiaty,"""EUROCONSULT"" Biuro Handlowe Zdzis_aw Lara",O_wiata z Certyfikatem,2-Feb-13,1-Feb-15,24-Jun-13,870048
,,,Miasto i Gmina Krotoszyn,Efektywne zarz_dzanie systemem o_wiaty w gminie Krotoszyn,6-Jan-13,1-Nov-13,20-Jan-13,99257.6
,,,Ogólnopolska Fundacja Edukacji Komputerowej,E-szko_a Wielkopolska - twórczy nauczyciel,2-Oct-12,1-Sep-13,28-Nov-12,1616386.54
,,,"O_rodek Doskonalenia Nauczycieli ""EURONAUKA"" Andrzej Czubaj",Podnoszenie kwalifikacji kadry pedagogicznej w województwie wielkopolskim,2-Dec-13,1-Aug-15,2-Oct-13,1105719.99
,,,,Podnoszenie kwalifikacji kadry pedagogicznej na obszarach wiejskich w województwie wielkopolskim,2-Dec-13,1-Mar-15,9-Jan-14,630095.29
,,,O_rodek Doskonalenia Nauczycieli w Pile,J_zyk angielski - kursy kwalifikacyjne dla nauczania pocz_tkowego z terenu województwa wielkopolskiego,2-Oct-12,1-Oct-14,13-Feb-13,1395000
,,,"Polsko - Niemieckie Przedsi_biorstwo Szkolenia, Doradztwa i Konsultingu ""Profi - Kurs"" Sp. z o.o.",Edukacja informatyczna dla nauczycieli,4-Nov-12,1-Dec-13,5-Feb-13,332697.6
,,,"Szkoleniowiec PHSU Krystyna Tuczy_ska, Roman Tuczy_ski",Kompleksowy program doskonalenia zawodowego nauczycieli z województwa wielkopolskiego,2-Sep-12,1-Jul-14,28-Nov-12,955715.68
,,,Szkoleniowiec Sp. z o. o.,Edukacja Przysz_o_ci. Kursy doskonal_ce dla nauczycieli z województwa wielkopolskiego,2-Oct-13,1-Aug-15,9-Oct-13,999904.98
,,,Szko_a Podstawowa z Oddzia_ami Integracyjnymi nr 9 im. Bohaterów Westerplatte w Koninie,Wysokie kwalifikacje pracowników Szko_y Podstawowej z Oddzia_ami Integracyjnymi nr 9 w Koninie,2-Nov-13,1-Nov-15,9-Dec-13,437158.12
,,,Zak_ad Doskonalenia Zawodowego,Uczymy doros_ych na odleg_o__,2-Dec-13,1-Jan-15,18-Nov-13,366666.66
,,,,Pomagaj_c innym pomagamy sobie,2-Oct-13,1-Nov-14,12-Dec-13,368820
,,9.5. Oddolne inicjatywy edukacyjne na obszarach wiejskich,Akademia Nauki Kuropka Pawe_,Akademia Nauki Kuropka Pawe_,2-Jan-13,1-Aug-13,12-Mar-13,47360
,,,,"""Europejczyk z klas_""",2-Jan-13,1-Aug-13,12-Mar-13,50000
,,,ALFA - SZKOLENIA ZAWODOWE,Spawacz - zawsze w cenie ,5-Jan-14,1-Apr-14,9-Feb-14,49850
,,,Andrzej Junak - Help - Nauka J_zyków Obcych i T_umaczenia,"J_zyka angielski - Równe szanse, wi_ksze mo_liwo_ci",2-Dec-13,27-May-14,5-Feb-14,49796
,,,ANNA PASZCZUK HORYZONT US_UGI EDUKACYJNE,"""Doskonalenie metod uczenia si_ - pokonywanie trudno_ci edukacyjnych w pocz_tkowym etapie nauczania przez uczniów maj_cych problemy w procesie uczenia si_ i nauczania""",2-Dec-13,1-Jun-14,23-Jan-14,49999.2
,,,ATC GRUPA Sp. z o.o.,Uczy_ si_ aby by_,17-Apr-12,17-Aug-12,1-Aug-12,49195
,,,,Uczy_ si_ aby dzia_a_.,16-Jan-12,16-Apr-12,15-Jan-12,49980
,,,ATC s.c.,Uczy_ si_ aby _y_ wspólnie z innymi.,16-Jan-12,16-Apr-12,15-Jan-12,47230
,,,,Nauka - najlepsza inwestycja,17-Apr-12,17-Aug-12,13-Aug-12,39849.4
,,,"ATC s.c. Wojciech Kaczmarek, Irena Kaczmarek, Daniel Kaczmarek","Stra_ak ratownik powiatowy, gminny (powiat pilski)",2-Apr-13,1-Aug-13,31-Mar-13,43599
,,,,"Stra_ak ratownik powiatowy, gminny (powiat Szamotu_y)",9-Apr-13,9-Aug-13,22-Apr-13,43584
,,,,"Stra_ak ratownik powiatowy, gminny (powiat Jarocin)",2-Jul-13,1-Nov-13,22-Apr-13,43599
,,,Biblioteka Publiczna Miasta i Gminy im. Eugeniusza Paukszty w Skokach,"Dziennikarz na ""5"". Wsparcie inicjatyw edukacyjnych dzieci i m_odzie_y z kó_ka dziennikarskiego, dzia_aj_cego na terenie gminy Skoki",3-Mar-13,1-Jan-14,10-Jun-13,49995
,,,Biblioteka Publiczna Miasta i Gminy Wolsztyn,Nauka w bibliotece jest przygod_ i zabaw_,2-Jan-13,1-Jul-13,24-Jul-13,49783
,,,"Biuro Projektów Europejskich ""EUROFUNDUSZE"" Agnieszka Kulesza",Angielski w przedszkolach gminy Czarnków - szans_ na lepszy start w przysz_o__,2-Jan-13,1-Sep-13,6-Mar-13,49085
,,,Centrum Akces Jaros_aw Przyby_owicz Spó_ka Jawna ,Aktywizacja kobiet na rynku pracy,2-Feb-12,1-Jul-12,27-Feb-12,47606.35
,,,Centrum Aktywno_ci Obywatelskiej,Internetowa Encyklopedia Krajny - Nowoczesna edukacja regionalna mieszka_ców obszarów wiejskich pó_nocnej Wielkopolski,2-Aug-13,1-Aug-14,17-Oct-13,49608
,,,Centrum Integracji Europejskiej Szko_a J_zyków Obcych i Rozwoju Przedsi_biorczo_ci w Z_otowie,"""Edukacja szans_ na przysz_o__""",19-Aug-12,15-Nov-12,20-Aug-12,49575.55
,,,,"""Reorganizacja w rolnictwie""",2-Sep-13,1-Dec-13,7-Nov-13,49889.38
,,,Centrum Kompetencji Grupa Szkoleniowo - Doradcza Ewa Gawro_ska,_WICZENIA WYOBRA_NI DLA DOROS_YCH I DZIECI W WIEKU PRZEDSZKOLNYM Projekt edukacyjno-artystyczny na rzecz rozwouju przedszkola gminnego w miejscowo_ci Damas_awek w powiecie W_growieckim,21-Nov-13,30-May-14,21-Nov-13,49974.8
,,,,PRZEPISY NA PRZEDSZKOLNE POPISY Projekt edukacyjno-artystyczny na rzecz rozwoju przedszkola w miejscowo_ci _opuchowo w powiecie pozna_skim,2-Jan-13,1-Sep-13,6-Mar-13,47954.8
,,,Centrum Kszta_cenia J_zyków Obcych SUPREME Magdalena Koz_owska,"""J_zyk obcy nie ca_kiem obcy""",2-Mar-13,1-Oct-13,31-Mar-13,49979
,,,Centrum Kultury w _miglu,"""Informatyka pod strzechy""",2-Jan-13,1-Sep-13,12-Mar-13,49937
,,,,"""Informatyka pod strzechy bis"" ",2-Jan-14,1-Jul-14,14-Nov-13,49794
,,,,"""J_zyk angielski - klucz do komunikacji bis""",2-Jan-14,1-Jul-14,14-Nov-13,49410
,,,,"""Koniec j_zyka za przewodnika"" ",2-Jan-14,1-Jul-14,31-Oct-13,49987
,,,,"""J_zyk angielski - klucz do komunikacji""",2-Jan-13,1-Oct-13,12-Mar-13,49989.6
,,,Competir Polska Sp. z o.o.,Nowe kwalifikacje - nowe horyzonty,24-Feb-13,23-Nov-13,31-Mar-13,49971.96
,,,,J_zyki obce-nowe horyzonty,24-Feb-13,23-Nov-13,22-May-13,49821.96
,,,,Fotoszko_a w Chrustowie,2-Mar-14,1-Jun-14,8-Dec-13,49978
,,,EUROPROJEKT Maria Kobek,Edukacja nasza szans_!,3-Nov-13,1-Apr-14,16-Dec-13,45680
,,,FUNDACJA AKTYWNO_CI LOKALNEJ,M_ODZIE_ PUSZCZYKOWA MA DOBR_ RAD_!,2-Jul-12,1-Aug-13,18-Sep-12,49999.5
,,,Fundacja Edukacyjna Pro Musica,"Koncerty Edukacyjne pt. ""Podró_e w czasie i przestrzeni""",2-Sep-13,1-Mar-14,21-Nov-13,33447.6
,,,,"Koncerty Edukacyjne pt. ""Spotkanie z kultur_""",2-Dec-12,1-Jan-14,4-Mar-13,44902.8
,,,Fundacja Inicjowania Rozwoju Spo_ecznego ,Edukacja nasza szans_ - promocja kszta_cenia ustawicznego i pozaformalnego ,2-Dec-13,1-Feb-14,19-Feb-14,40064
,,,Fundacja Rozwoju Demokracji Lokalnej,E-dukacja po czterdziestce - szkolenia komputerowe dla mieszka_ców gminy Kwilcz ,2-Jan-14,1-Jul-14,31-Oct-13,47719.09
,,,,ABC komputera - szkolenie informatyczne dla mieszka_ców gminy Szamotu_y ,3-Nov-13,1-May-14,14-Nov-13,47719.09
,,,,Akademia Aktywnych Seniorów w Skokach,3-Nov-13,1-May-14,14-Nov-13,49978.81
,,,,Dopiewska Akademia Aktywnych Seniorów ,3-Nov-13,1-May-14,5-Nov-13,49978.81
,,,,Era komputera - szkolenia informatyczne dla mieszka_ców gminy Ku_lin  ,3-Nov-13,1-May-14,26-Nov-13,44825.55
,,,Fundacja Rozwoju Nauki i Przedsi_biorczo_ci,"""Popo_udniowa szko_a""",2-Sep-12,1-Sep-13,14-Aug-12,49585.52
,,,,"""B_d_ bezpieczny""",2-Feb-13,1-Dec-13,4-Mar-13,49602.06
,,,,"""Szko_a z klas_""",2-Feb-13,1-Dec-13,4-Mar-13,49126.56
,,,,"""Szko_a równych szans""",2-Sep-12,1-Sep-13,1-Oct-12,44923.53
,,,,"""Bezpieczna m_odzie_ w powiecie chodzieskim""",2-Jan-14,1-Jul-14,9-Dec-13,49951.54
,,,,"""Szko_a sukcesu""",2-Feb-13,1-Dec-13,4-Mar-13,49807.56
,,,,"""Uwierz w siebie""",2-Feb-13,1-Dec-13,5-Mar-13,47251.06
,,,,"""Nie tylko dla or_ów""",2-Sep-12,1-Sep-13,14-Aug-12,49685.52
,,,,"""M_odzi badacze -pleszewskie warsztaty edukacyjne""",2-Jan-14,1-Jun-14,8-Dec-13,48496.92
,,,,Stawiamy na kultur_ - edukacja kulturalna m_odzie_y powiatu chodzieskiego,2-Jan-14,1-Jun-14,18-Nov-13,49841.92
,,,,"""Spotkanie z kultur_""",2-Feb-13,1-Dec-13,5-Mar-13,49871.06
,,,,Fascynacje nauk_ - nasz_ szans_ na lepszy start,2-Jan-14,1-Jun-14,18-Nov-13,48296.92
,,,,"""Bezpieczne wakacje""",2-Feb-13,1-Dec-13,20-Feb-13,49602.06
,,,Fundacja Rozwoju Talentów,"""Przysz_o__ jest w Twoich r_kach""",2-Nov-13,1-Apr-14,14-Nov-13,48054.83
,,,"Fundacja ""Tutaj Warto""",Kurs obs_ugi komputera i internetu dla osób w wieku 45+,2-Feb-14,1-May-14,29-Dec-13,49660
,,,Fundacja Wiosna w Sercu,Wiedza to si_a - oddolna inicjatywa edukacyjna na terenie Gminy Stare Miasto ,2-Feb-14,1-Jul-14,8-Dec-13,44925
,,,,SKULSK - stawiamy na edukacj_ i tradycj_,2-Mar-14,1-Aug-14,5-Jan-14,46478
,,,,Rycerze _w.Floriana na stra_y mieszka_ców gminy _lesin,2-Jan-14,1-Apr-14,14-Nov-13,49786
,,,Fundacja Wrota Wielkopolski,Mieszka_cy Wrót Wielkopolski otwarci na _wiat,2-Mar-13,1-Mar-14,15-Apr-13,50000
,,,Fundacja Wspierania Polskiego Rolnictwa,Pakt dla przysz_o_ci,2-Mar-12,1-Aug-12,27-Feb-12,40985
,,,Gimnazjum nr 2 im. Andrzeja Pr_dzy_skiego,Wspieranie rozwoju edukacyjnego m_odzie_y wiejskiej gminy Wrze_nia,6-Jan-13,18-Jul-13,23-Jun-13,49300
,,,Gmina D_bie,Twój sukces to twoja aktywno__,5-Jul-12,1-Dec-12,18-Sep-12,49219
,,,,Chc_ ratowa_ skutecznie,2-Jul-13,1-Aug-14,4-Mar-14,49925
,,,Gmina Duszniki,Ma_y Odkrywca w Przedszkolu,3-Jun-12,1-Aug-13,13-Aug-12,49694.5
,,,Gmina Gniezno,"""Promocja edukacji w Gminie Gniezno""",2-Jan-13,1-Aug-13,27-Feb-13,49890
,,,Gmina Godziesze Wielkie,Szko_a wszechstronno_ci,3-Nov-13,1-Apr-14,30-Jan-14,40420
,,,,Szko_a p_ywania - szko_a _ycia,2-Jan-14,1-Jun-14,14-Jan-14,40420
,,,Gmina Granowo / Zespó_ Szkolno-Przedszkolny-Przedszkole w Granowie,Zaczarowany Las - nowoczesne technologie edukacyjne dla dzieci 5 i 6 letnich,2-Oct-13,1-Apr-14,14-Nov-13,49701.7
,,,Gmina Grzegorzew,"""Witaj Lato - pora na aktywnych""",1-Apr-14,31-Jul-14,10-Dec-13,40575
,,,Gmina Krobia,Szkolenia w zakresie alternatywnych form edukacji,2-Feb-13,1-Nov-13,22-Apr-13,41666
,,,Gmina Krzykosy / Zespó_ Szkó_ w Pi_czkowie,Wirtualna spo_eczno__ szkolna Zespo_u Szkó_ w Pi_czkowie,2-Jan-14,30-May-14,31-Dec-13,49710
,,,Gmina Lisków,Bezpieczne K_pielisko - Program nauki i doskonalenia p_ywania dla uczniów Gimnazjum w Liskowie,2-Jan-13,16-Sep-13,28-Mar-13,49452
,,,,Bezpieczne K_pielisko - Program Nauki i doskonalenia p_ywania dla uczniów Szko_y Podstawowej w Liskowie,2-Jan-13,16-Jul-13,28-Mar-13,49452
,,,,Bezpieczne K_pielisko - Program nauki i doskonalenia p_ywania dla uczniów Szko_y Podstawowej w Zalesiu,2-Jan-13,16-Jul-13,28-Mar-13,43452
,,,,Bezpieczne K_pielisko - Program nauki i doskonalenia p_ywania dla uczniów Szko_y Podstawowej w Zakrzynie,2-Jan-13,16-Jul-13,28-Mar-13,49452
,,,,Bezpieczne K_pielisko - Program nauki i doskonalenia p_ywania dla uczniów Szko_y Podstawowej w Ciepielewie,2-Jan-13,16-Sep-13,28-Mar-13,48252
,,,,Bezpieczne K_pielisko - Program nauczania i doskonalenia p_ywania uczniów Szko_y Podstawowej w Strza_kowie,2-Jan-13,16-Sep-13,28-Mar-13,49452
,,,Gmina Miejska Chodzie_,_wietlica moich szans - zaj_cia dla dzieci i m_odzie_y z rodzin dysfunkcyjnych z terenu Gminy Miejskiej Chodzie_,2-Feb-13,2-Jan-14,31-Mar-13,49979
,,,Gmina Nekla / Zespó_ Szkó_ im. Jana Paw_a II w Zasutowie ,"Wirtualna spo_eczno__ szkolna Zespo_u Szkó_ im. Jana Paw_a II
w Zasutowie ",2-Nov-13,30-Mar-14,14-Nov-13,48450
,,,Gmina Nekla/ZS w Zasutowie,Nasza Wielko-Polska Szko_a,16-Aug-13,16-Oct-13,21-Nov-13,49605
,,,Gmina Oborniki,Ucz_ si_ szybciej i skuteczniej,4-Aug-13,27-Feb-14,22-Jul-13,44969
,,,,Skuteczna nauka przepustk_ do lepszej przysz_o_ci,4-Aug-13,27-Feb-14,22-Jul-13,49943
,,,Gmina Piaski,Radosne Brzd_ce ,2-Sep-13,26-Feb-14,10-Nov-13,49309.5
,,,,Ma_y Einstein,2-Sep-13,26-Feb-14,10-Nov-13,49845.5
,,,"Gmina Pniewy/Przedszkole ""Mi_"" w Pniewach",Odkrywcy na bezludnej wyspie - nowoczesne strategie edukacyjne dla dzieci 5 letnich.,2-Oct-13,1-Apr-14,24-Dec-13,49986.7
,,,,Naucz czyta_ swego misia - nowoczesne strategie edukacyjne dla dzieci 4 letnich.,2-Oct-13,1-Apr-14,16-Jan-14,49971.7
,,,Gmina Przygodzice / Zespó_ Szkó_ w Jankowie Przygodzkim ,Wspólny start w _wiat biznesu ,5-Jan-14,1-May-14,14-Jan-14,49700
,,,Gmina Rakoniewice / Zespó_ Szkolno-Gimnazjalny w Rakoniewicach  ,Wirtualna spo_eczno__ szkolna Zespo_u Szkolno-Gimnazjalnego w Rakoniewicach ,2-Jan-14,30-May-14,16-Dec-13,49030
,,,Gmina Sieraków,Profesjonalna Stra_ - bezpieczna Gmina. Projekt specjalistycznych szkole_ dla stra_aków z jednostek OSP w gminie Sieraków  ,2-Oct-13,1-Apr-14,10-Dec-13,49896
,,,Gmina Somopolno / Miejsko-gminny O_rodek Kultury w Somopolnie ,Z tradycj_ ku rozwojowi gminy Sompolno,2-Mar-14,29-Jun-14,13-Feb-14,49994
,,,Gmina Stare Miasto ,Wy_sze kwalifikacje - nowe mo_liwo_ci ,3-Jan-14,1-Jul-14,14-Jan-14,49998
,,,Gmina St_szew/Przedszkole w St_szewie ,Ma_y Mi_ poznaje _wiat nauki,2-Oct-13,1-Apr-14,14-Nov-13,49925.5
,,,Gmina Wierzbinek,Wykwalifikowani stra_acy - bezpieczniejsi mieszka_cy,2-Jan-14,1-Jun-14,9-Dec-13,49940
,,,Gmina Wijewo / Zespó_ Szkó_ im. Powsta_ców Wielkopolskich w Brennie,Wirtualna spo_eczno__ szkolna Zespo_u Szkó_ im. Powsta_ców Wielkopolskich w Brennie,2-Jan-14,30-May-14,9-Jan-14,50000
,,,Gmina Zb_szy_,Nowe kwalifikacje mieszka_ców Gminy Zb_szy_ drog_ do sukcesu,2-Sep-13,1-Mar-14,21-Nov-13,49866.2
,,,,Nowe umiej_tno_ci stra_aków ochotników odpowiedzi_ na wspó_czesne wyzwania,3-Feb-13,1-Apr-13,26-Mar-13,43083.5
,,,Gmina Z_otów,Pomoc potrzebuj_cym aktywn_ form_ integracji spo_ecznej,3-Mar-13,1-Oct-13,5-Mar-13,49989.48
,,,Gminne Przedszkole Publiczne w Rosku ,Mali i odwa_ni zdobywcy ,2-Oct-13,1-Apr-14,1-Dec-13,49959
,,,Gminny O_rodek Pomocy Spo_ecznej,Angielski szans_ na przysz_o__,25-Feb-13,1-Nov-13,15-Apr-13,49986
,,,I&D STUDIO 2 Anna K_pi_ska - Fr_ckowiak ,Edukacyjna platforma przedsi_biorczo_ci - kurs dla m_odzie_y z gminy Dopiewo,2-Jan-13,1-Jul-13,4-Mar-13,41074
,,,,E-dukacja w gminie Dopiewo - akcja informacyjna,2-Feb-13,1-Oct-13,20-Feb-13,49965
,,,K_pi_ska Inicjatywa Samorz_dowa,Internet nie taki straszny - kurs komputerowy dla seniorów z Gminy K_pno.,3-Feb-13,1-Aug-13,27-Feb-13,38405
,,,Komenda Powiatowa Pa_stwowej Stra_y Po_arnej w Gnie_nie ,Ochotnicza Stra_ Po_arna - wykszta_ceni stra_acy w s_u_bie mieszka_com obszarów wiejskich,2-Feb-14,1-Jun-14,19-Feb-14,50000
,,,Komenda Powiatowa Pa_stwowej Stra_y Po_arnej w Grodzisku Wlkp.,Wykwalifikowani ratownicy = bezpieczne spo_ecze_stwo,2-Apr-13,1-Sep-13,10-Mar-13,38080
,,,Komenda Powiatowa Pa_stwowej Stra_y Po_arnej w Ostrowie Wielkopolskim,Na stra_y bezpiecze_stwa. Projekt kursów z zakresu ratownictwa medycznego dla stra_aków z powiatu ostrowskiego. ,2-Oct-13,1-Mar-14,9-Dec-13,49644
,,,,Na stra_y bezpiecze_stwa. Projekt specjalistycznych szkole_ dla stra_aków z powiatu ostrowskiego,2-Oct-13,1-Mar-14,9-Dec-13,49994
,,,Komenda Powiatowa Pa_stwowej Stra_y Po_arnej w Pleszewie ,Na stra_y bezpiecze_stwa. Projekt  specjalistycznych szkole_ dla stra_aków z powiatu pleszewskiego ,2-Oct-13,1-Mar-14,8-Dec-13,49444
,,,,"Profesjonalna Stra_ - bezpieczny powiat. Projekt specjalistycznych 
szkole_ dla stra_aków z powiatu pleszewskiego.  ",2-Oct-13,1-Mar-14,29-Dec-13,48844
,,,Komenda Powiatowa Pa_stwowej Stra_y Po_arnej w Wolsztynie,Wykwalifikowane kadry ratownicze w Powiecie Wolszty_skim,2-Mar-13,1-Sep-13,1-Apr-13,49965
,,,Komenda Powiatowa Stra_y Po_arnej,Skuteczna Stra_ - bezpieczny powiat. Projekt specjalistycznych szkole_ zawodowych dla stra_aków z powiatu mi_dzychodzkiego.,2-Oct-13,1-Mar-14,8-Dec-13,49964
,,,Komitet Wspó_pracy Gminy Wronki z Zagranic_,Poznamy j_zyk - poznamy si_ bli_ej,2-Jul-12,29-Aug-13,18-Sep-12,48900
,,,Koni_ska Izba Gospodarcza,Wiklinowe zag__bie - Inicjatywa edukacyjna na terenie gminy Wierzbinek,2-Mar-13,1-Dec-13,17-Mar-13,46140.2
,,,Miasto i Gmina Krotoszyn,Od kurendy do maila,2-Sep-12,16-May-13,11-Oct-12,49166.5
,,,Miejski O_rodek Doskonalenia Nauczycieli w Koninie,Równy start z j_zykiem angielskim ,2-Jan-14,1-Jul-14,23-Jan-14,43015
,,,Nova Cenrum - Szko_a J_zyków Obcych,Angielski na weso_o - projekt bezp_atnych zaj__ j_zykowych dla dzieci przedszkolnych z gminy Ostrzeszów ,2-Jan-14,1-Jul-14,10-Dec-13,49168
,,,Nowa Edukacja Sp. zo.o.,Potrafi_ - pomagam w gminie Kazimierz Biskupi ,2-Dec-13,1-Feb-14,26-Nov-13,46655.1
,,,,Potrafi_ - pomagam w gminie Stare Miasto,2-Mar-14,1-Jul-14,21-Nov-13,49539.1
,,,,Potrafi_ - pomagam w gminie Rzgów ,2-Jan-14,1-May-14,1-Dec-13,42455.1
,,,Ochotnicza Stra_ Po_arna w K_b_owie,"Nowocze_ni ratownicy w powiecie wolszty_skim, ko_cia_skim i grodziskim  ",2-Oct-13,1-Feb-14,10-Nov-13,46125
,,,,Kwalifikowana pierwsza pomoc w Powiecie Wolszty_skim ,2-Jan-14,1-Apr-14,26-Nov-13,45740
,,,,Mobilny stra_ak ochotnik gwarancj_ bezpiecze_stwa ,2-Nov-13,1-Mar-14,5-Dec-13,45400
,,,,Wykwalifikowani ratownicy gwarancj_ bezpiecze_stwa na ziemi wolszty_skiej,2-Feb-13,1-Feb-14,6-Mar-13,49990
,,,,"Nowe kwalifikacje - bezpieczni ratownicy w powiecie wolszty_skim, ko_cia_skim i grodziskim",2-Oct-13,1-Jan-14,5-Nov-13,43625
,,,Ochotnicza Stra_ Po_arna w K_b_owie ,Wykwalifikowani ratownicy - pilarze w Powiecie Wolszty_skim ,2-Feb-14,1-May-14,31-Oct-13,45950
,,,Ognisko Pracy Pozaszkolnej w Z_otowie,Uczmy si_ poprzez sztuk_ - warsztaty artystyczne dla dzieci z obszarów wiejskich w Powiecie Z_otowskim,2-Sep-12,1-Jan-13,25-Sep-12,50000
,,,Pa_stwowa Wy_sza Szko_a zawodowa im. Prezydenta Stanis_awa Wojciechowskiego w Kaliszu,Uniwersytet Gimnazjalny II,2-Sep-13,1-Mar-14,23-Jan-14,49989.9
,,,,Uniwersytet Gimnazjalisty,2-Oct-12,1-Oct-13,21-May-13,49998.01
,,,Policealne Studium Zawodowe OPTIMUM,Wykorzystajmy szans_ - Komputer w dydaktyce szkolnej i pracy nauczyciela,2-Mar-13,1-Jun-13,22-Apr-13,49801.71
,,,"Polsko - Niemieckie Przedsi_biorstwo Szkolenia, Doradztwa i Konsultingu ""Profi - Kurs"" Sp. z o.o.",Ratownictwo medyczne w gminie Rawicz,3-Jan-13,30-May-13,19-Mar-13,49913.28
,,,"Polsko-Niemieckie Przedsi_biorstwo Doradztwa, Szkolenia i Konsultingu ""Profi-Kurs"" Sp. z o.o.",Ratownictwo medyczne w gminach Jutrosin i Pakos_aw,3-Jan-13,1-May-13,19-Mar-13,49913.28
,,,,Ratownictwo medyczne w gminach Bojanowo i Miejska Górka,3-Jan-13,1-May-13,19-Mar-13,49913.28
,,,"Polsko-Niemieckie Przedsi_biorstwo Doradztwa, Szkolenia i Konsultingu Profi-Kurs Sp. z o.o. ",Ratownictwo przedmedyczne w gminie Rychwa_,4-Nov-12,7-Apr-13,20-Aug-12,49540.58
,,,,Ratownictwo przedmedyczne w gminie Kleczew,2-Jul-12,1-Jan-13,20-Aug-12,49540.58
,,,"Polsko-Niemieckie Przedsi_biorstwo Szkolenia, Doradztwa i Konsultingu Profi - Kurs Sp. z o.o.",Ratownictwo przedmedyczne w gminie _lesin,4-Nov-12,1-Apr-13,20-Aug-12,49540.58
,,,Porozumienie Ziemia Ko_cia_ska ,Aktywni w Trzecim Wieku,22-Sep-13,16-Mar-14,27-Feb-14,33240
,,,Powiat Chodzieski,Nowe kwalifikacje - Lepsza praca ,2-Feb-14,1-Jul-14,14-Jan-14,49900
,,,Powiat Czarnkowsko-Trzcianecki,Szko_a nowych szans,2-Mar-13,30-Aug-13,28-Mar-13,49850
,,,Powiat Turecki,Studia szans_ na lepsz_ przysz_o__,15-Jul-12,29-Nov-12,20-Aug-12,43340
,,,Powiat W_growiecki,Kibice Euro 2012:zaj_cia sportowo-wychowawcze dla dzieci i m_odzie_y z terenu Powiatu W_growieckiego ,5-Jan-14,5-Jun-14,29-Dec-13,49837
,,,,Multimodalne Centrum Planowania Kariery Zawodowej dla M_odzie_y Szkó_ Ponadgimnazjalnych w Powiecie W_growieckim ,5-Jan-14,5-Jun-14,5-Dec-13,33541
,,,,Multimodalne Centrum Planowania Kariery Zawodowej dla M_odzie_y Gimnazjalnej w Powiecie W_growieckim.,2-Feb-12,16-Dec-12,27-Feb-12,49961.24
,,,,"Wzrost  _wiadomo_ci ekologicznej  uczniów szkó_ ponadgimnazjalnych 
z terenu Powiatu W_growieckiego  ",5-Jan-14,26-Jun-14,29-Dec-13,49558
,,,,"Zainteresuj si_ bogactwem okolicy, w której mieszkasz - cykl zaj__ aktywizuj_cych spo_eczno_ci lokalne w powiecie w_growieckim",6-Jan-13,1-Oct-13,10-Mar-13,49992
,,,Powiatowe Centrum Edukacji Zawodowej ,Nabywam nowe umiej_tno_ci i _ród_a dochodu,2-Sep-12,29-Nov-12,18-Sep-12,47938
,,,Powiatowy Urz_d Pracy,"WIEM - Wiedza, Informacja, Edukacja Mieszka_ców gminy Czarnków",2-Feb-12,1-Oct-12,27-Feb-12,50000
,,,"Przedsi_biorstwo ""Agricola"" w Kr_psku Sp. z o.o.","""Wiejski O_rodek Edukacji ku zrównowa_onej przysz_o_ci-szans_ na podniesienie _wiadomo_ci edukacyjnej i spo_ecznej mieszka_ców Kr_pska i okolic""",20-May-12,20-Aug-12,20-Aug-12,43065
,,,"Przedsi_biorstwo Wielobran_owe ""Kwant"" Sp. z o.o.","Edukacja dla bezpiecze_stwa w gminach: Golina, Kramsk, Krzymów i _lesin",2-Mar-13,1-Jul-13,27-Feb-13,49533.24
,,,,"Edukacja dla bezpiecze_stwa w gminach: Kazimierz Biskupi, Kleczew, Skulsk, Sompolno i Wilczyn",3-Jan-13,30-May-13,27-Feb-13,49533.24
,,,,Edukacja dla bezpiecze_stwa w gminie Kramsk,3-Jun-12,1-Nov-12,15-Aug-12,45754.02
