"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
63,"Talsu novada pašvaldība","Kareivju iela 7, Talsi, Talsu novads, LV-3201",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Talsu 2. vidusskolā","Kurzeme, ",02/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk - prioritārie priekšmeti)  apguves iespējas un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes: 
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana: 
 	izveidot 25 darbavietas darbam ar datoru prioritārajos priekšmetos;
 	izglītības programmas ķīmijā īstenošanai;
 	izglītības programmas fizikā īstenošanai;
 	izglītības programmas bioloģijā īstenošanai;
 	izglītības programmas matemātikā īstenošanai.
 3.	Mācību materiālu un mācību programmatūras iegāde.
 Projekts tiks īstenots laika posmā no 2009.gada 1.janvāra līdz 2010.gada 31.decembrim.
 ",98392,83633,0,20
64,"Aglonas novada dome","Somersetas iela 34, Aglona, Aglonas pagasts, Aglonas novads, LV-5304",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Aglonas vidusskolā","Latgale, ",27/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārās izglītības programmas) īstenošanu un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Preiļu rajona Aglonas vidusskolā plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai:
 2.1.	materiāli tehniskās bāzes izveide (centralizētais iepirkums);
 2.2.	aprīkojuma iegāde (pašvaldības iepirkums);
 Projekta vispārīgais mērķis: 
 Paaugstināt vispārējās vidējās izglītības kvalitāti prioritārajos mācību priekšmetos Preiļu rajonā. 
 Projekta specifiskais mērķis: 
 Modernizēt un pilnveidot Aglonas vidusskolas materiāli tehnisko bāzi, nodrošinot kvalitatīvu vidējās izglītības programmu dabaszinātnēs un matemātikā īstenošanu.
 Projekta rezultāti – renovēti un aprīkoti ar iekārtām un tehnoloģijām 4 prioritāro mācību kabineti.
 Projekta īstenošanas laiks- 21 mēneši. 
 Kopējā projekta summa 137 817 Ls, ERAF finansējums 85% no attiecināmajām izmaksām – 83633 Ls, pašvaldības līdzfinansējums 15% - 14759 Ls. Neattiecināmās izmaksas 39425 Ls pašvaldība sedz no sava budžeta.
 ",98392,83633,0,21
65,"Nīcas novada dome","Bārtas iela 6, Nīcas pagasts, Nīcas novads, LV-3473",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Nīcas vidusskolā","Kurzeme, ",30/01/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Nīcas vidusskolā plānots veikt šādas aktivitātes:
 1.	Dabaszinātņu un matemātikas 4 kabinetu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	mēbeļu aprīkojuma iegāde un uzstādīšana.
 Projekts īstenošanas laiks: 24 pilni mēneši, no 2009. gada aprīļa – 2011. gada aprīlim 
 Projekta īstenošanas vieta: Nīcas vidusskola, Skolas ielā 14, Nīcas pagastā
 Liepājas rajonā, p.n. Nīca LV 3473
 Projekta vispārīgais mērķis:
 Vispārējās vidējās izglītības kvalitātes paaugstināšana prioritārajos mācību priekšmetos Nīcas vidusskolā.
 Projekta specifiskais mērķis:
 Kvalitatīvai vispārējās vidējās izglītības programmas īstenošanai dabaszinātnēs un matemātikā nepieciešamās materiāli tehniskās bāzes modernizēšana un pilnveidošana Nīcas vidusskolā.
 Mērķa grupa: Nīcas vispārējās izglītības iestāde, izglītojamie un pedagogi.
 Projekta kopējās izmaksas: 98 392.00 LVL, no kuriem:
 85% ERAF finansējums 83 633.00 LVL
 15% pašvaldības līdzfinansējums 14 759.00 LVL
 ",98392,83633,0,24
66,"Višķu pagasta pārvalde","Skolas iela 17, Špoģu c., Višķu pagasts, Daugavpils novads, LV-5481",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes izveidošana Špoģu vidusskolā","Latgale, ",02/02/2009,"  Projekta „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes izveidošana Špoģu vidusskolā” mērķis ir vispārējās vidējās izglītības kvalitātes paaugstināšana Špoģu vidusskolā, pilnveidojot skolas materiāli tehnisko bāzi, nodrošinot kvalitatīvu vidējās izglītības standartu un programmu dabaszinātnēs un matemātikā īstenošanu.
   Projekta ietvaros plānota:
 1. Fizikas, ķīmijas, matemātikas un bioloģijas kabinetu un laboratoriju renovācija;
 2. Fizikas, ķīmijas, matemātikas un bioloģijas kabinetu un laboratoriju aprīkošana ar mēbelēm;
 3. Vispārējās vidējās izglītības fizikas, ķīmijas, matemātikas un bioloģijas programmu īstenošanai nepieciešamo materiāltehnisko līdzekļu un aprīkojuma iegāde un uzstādīšana;
 4. Bibliotēkas un mācību videofonda pilnveide, elektronisko apmācības materiālu un programmatūru iegāde.
 ",98392,83633,0,21
67,"Talsu novada pašvaldība","Kareivju iela 7, Talsi, Talsu novads, LV-3201",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Valdemārpils vidusskolā","Kurzeme, ",30/01/2009,"Lai nodrošinātu kvalitatīvu vispārējās vidējās izglītības programmu grupu- dabaszinības (ķīmija, bioloģija, fizika) un matemātika (turpmāk- prioritārās izglītības programmas) – īstenošanu un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes: 
 1.	Telpu renovācija
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 	Materiāli tehniskās pamatbāzes izveide;
 	Aprīkojuma iegāde, uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 Projekta īstenošanas periods no 2009.gada 1.marta līdz 2010.gada 31.decembrim
 Projekta kopējais finansējuma apmērs LVL 121058 (Viens simts divdesmit viens tūkstotis piecdesmit astoņi lati), t.sk., attiecināmās izmaksas LVL 98392 (Deviņdesmit astoņi tūkstoši trīs simti deviņdesmit divi lati), neattiecināmās izmaksas LVL 22666 (Divdesmit divi tūkstoši seši simti sešdesmit seši lati).
 ",98392,83633,0,22
68,"Ozolnieku novada dome","Stadiona iela 10, Ozolnieku pagasts, Ozolnieku novads, LV-3018",,"Kvalitatīvai dabaszinātņu programmu apguvei atbilstošas materiāli tehniskās bāzes pilnveide Ozolnieku novada vidusskolā","Zemgale, ",12/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie mācību priekšmeti) apguves iespējas un radītu priekšnosacījumus kvalificētu speciālistu sagatavošanai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Jelgavas rajona Ozolnieku vidusskolā laikā no 2009. un 2010.gadam plānots veikt šādas aktivitātes:
 
 1.	Prioritāro mācību priekšmetu kabinetu un to laboratorijas telpu renovācija -  tiks veikti gan telpu remonta-apdares darbi, gan elektroinstalācijas darbi, kā arī uzstādīta šo kabinetu specifikai nepieciešamā ventilācijas sistēma.
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana (datortehnika, programmatūra, datortehnikas pārvietošanas ierīces 25 darbavietu darbam ar datoru nodrošināšanai, ierīces, aparatūra, materiāli, piederumi), kā rezultātā tiks izveidota kvalitatīva, mūsdienu prasībām atbilstoša materiāli tehniskā bāze:
 2.1.	izglītības programmas ķīmijā īstenošanai;
 2.2.	izglītības programmas fizikā īstenošanai;
 2.3.	izglītības programmas bioloģijā īstenošanai;
 2.4.	izglītības programmas matemātikā īstenošanai.
 
 3.	Mēbeļu iegāde un uzstādīšana prioritāro mācību priekšmetu kabinetos – kā rezultātā būs nokomplektētas mēbeles atbilstoši šajā projektā iegādāties paredzēto mācību līdzekļu, aprīkojuma un tehnoloģiju ērtai izvietošanai un sekmīgai turpmākai mācību procesa organizēšanai un nodrošināšanai.
 ",98392,83633,0,21
69,"Rojas novada dome","Zvejnieku iela 3, Rojas pagasts, Rojas novads, LV-3264",,"Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības matemātikas, dabas zinību un tehnikas programmu īstenošanai Talsu rajona Rojas vidusskolā","Kurzeme, ",09/04/2009,"Lai radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs un būtiski uzlabotu dabaszinātņu (ķīmija, fizika, bioloģija) un matemātikas priekšmetu izglītības programmu kvalitāti, projekta „Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības matemātikas, dabas zinību un tehnikas programmu īstenošanai Talsu rajona Rojas vidusskolā” ietvaros tiks īstenotas šādas aktivitātes: 
 1.	Telpu renovācija ķīmijas, fizikas un bioloģijas un matemātikas kabinetos un to laboratorijās;
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana izglītības programmu īstenošanai ķīmijā, fizikā, bioloģijā un matemātikā;
 3.	Mācību materiālu un mācību programmatūras iegāde;
 4.	Projekta vadība, uzraudzība un publicitāte. 
 Projekts tiks īstenots Talsu rajona Rojas vidusskolā. Projekta ieviešana ilgs 24 mēnešus sākot ar 2009.gada 2.janvāri līdz 2010.gada 31.martam. Kopējais projekta budžets ir 125645 LVL. 
 ",98392,83633,0,18
70,"Gulbenes novada Lejasciema pagasta pārvalde","Rīgas iela 11a, Lejasciems, Lejasciema pagasts, Gulbenes novads, LV-4412",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana  Lejasciema vidusskolā","Vidzeme, ",30/01/2009,"Projekta  specifiskais mērķis ir kvalitatīvas vispārējās vidējās izglītības programmu īstenošanai materiāli tehniskās bāzes modernizēšana Lejasciema vidusskolā. Lai nodrošinātu kvalitatīvu vispārējās izglītības programmas dabaszinību priekšmetos- ķīmija, fizika, bioloģija un matemātika (turpmāk tekstā – prioritārās izglītības programmas) īstenošanu un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs un nodrošinātu nepieciešamo materiāli tehnisko bāzi, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Prioritāro priekšmetu telpu renovācija (projekta īstenotājā organizēts iepirkums).
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 	materiāli tehniskās pamatbāzes izveide (centralizēts iepirkums);
 	aprīkojuma iegāde (projekta īstenotājā organizēts iepirkums).
 3.	Bibliotēku fondu pilnveide.
   Projekta realizācijas laiks 2009.gada 01.marta līdz 2010.gada 31.decembrim, kopējais realizācijas laiks 22 mēneši. 
    Kopējās projekta realizācijas izmaksas LVL 104 368, no tām attiecināmās izmaksas LVL 98 392, no tās 85%  ERAF finansējums LVL 83 633,  15% Lejasciema pagasta padomes līdzfinansējums LVL    14 759 (no tā 40% valsts budžeta dotācijas pašvaldībām, kas sastāda LVL 7 379, 60% pašvaldības finansējums- LVL 7 380). Neattiecināmās izmaksas LVL 5 976 apmērā pašvaldība sedz no pašvaldības budžeta.
 ",98392,83633,0,19
71,"Raunas novada dome","Vidzemes iela 2, Raunas pagasts, Cēsu rajons, LV-4131",,"Materiāli tehniskās bāzes pilnveide vispārējās vidējās izglītības programmu īstenošanai Raunas vidusskolā.","Vidzeme, ",02/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk- prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojumu, tehnoloģiju iegāde un uzstādīšana:
 2.1. Materiāli tehniskās pamatbāzes izveide.
            - izglītības programmas ķīmijā īstenošanai;
 - izglītības programmas fizikā īstenošanai;
 - izglītības programmas bioloģijā īstenošanai;
 - izglītības programmas matemātikā īstenošanai;
       2.2. Aprīkojuma iegāde.
 2.3. aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 
 3.	Mācību materiālu un mācību programmatūras iegāde, kā arī bibliotēkas un   
 mācību video fondu pilnveide.
 ",98392,83633,0,21
72,"Auces novada pašvaldība","Jelgavas iela 1, Auce, Auces novads, LV-3708",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Auces vidusskolā","Zemgale, ",02/02/2009,"Lai uzlabotu Auces vidusskolas materiāltehnisko bāzi, tādejādi veicinot izglītojamo un pedagogu interesi izglītības programmas apguvē, radot nepieciešamos priekšnosacījumus sekmīgai praktisko un teorētisko zināšanu iegūšanai, projektā iesaistītajai skolai dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas klasēs (turpmāk- prioritārie priekšmeti) paredzēts veikt šādas aktivitātes:
 1.	telpu renovācija,
 2.	informācijas tehnoloģiju, programmatūru un aprīkojuma iegāde un uzstādīšana,
 3.	mēbeļu iegāde un uzstādīšana,
 4.	mācību materiālu, bibliotēku un mācību video fondu pilnveide.
 ",98392,83633,0,27
73,"Rīgas domes Izglītības, jaunatnes un sporta departaments","Hanzas iela 7, Rīga, LV-1045",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana  63 Rīgas vispārizglītojošās skolās","Rīga, ",12/02/2009,"Lai radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs un nodrošinātu augstu izglītības kvalitāti dabaszinātņu (ķīmija, fizika, bioloģija) un matemātikas priekšmetos (turpmāk tekstā arī – prioritārajos priekšmetos) vispārējā vidējā izglītībā, projekta ietvaros tiks pilnveidota materiāli tehniskā bāze 63 vispārizglītojošās skolās Rīgas pilsētā. 
 Projekta ietvaros tiks īstenotas šādas aktivitātes:
 1.	Prioritāro priekšmetu mācību kabinetu un laboratoriju pie tiem renovācija;
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana; 
 3.	Projekta vadība, uzraudzība un publicitātes pasākumu īstenošana.
 Projekts tiks īstenots 33 mēnešu laikā no 2009.gada 1.februāra līdz 2011.gada 31.oktobrim. Kopējās projekta izmaksas ir 8 789 543 lati.  
 ",6198696,5268891,0,30
74,"Vārkavas novada dome","Skolas iela 5, Vecvārkava, Vārkavas novads, LV-5335",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Vārkavas vidusskolā","Latgale, ",27/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 
 1.	Telpu renovācija.
 1.1	Matemātikas kabineta renovācija
 1.2	Fizikas kabineta laboratorijas renovācija
 1.3	Ķīmijas-bioloģijas kabineta un laboratorijas renovācija
 
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma iegāde;
 2.3.	aprīkojuma uzstādīšana;
 2.4.	izveidotas 25 darbavietas darbam ar datoru prioritārajos priekšmetos.
 2.4.1.izglītības programmas bioloģijā īstenošanai;
 2.4.2.izglītības programmas ķīmijā īstenošanai.
 
 3.	Mācību materiālu un programmatūras iegāde, kā arī bibliotēku un mācību video fondu pilnveide. 
 ",98392,83633,0,18
75,"Dobeles novada pašvaldība","Brīvības iela 17, Dobele, Dobeles novads, LV-3701",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Dobeles 1. vidusskolā un Dobeles 2.vidusskolā","Zemgale, ",12/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros katrā no projektā iesaistītajām skolām plānots veikt šādas aktivitātes:
 1.	Telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1.	materiāli tehniskās pamatbāzes izveide;
 2.2.	aprīkojuma iegāde;
 2.3.	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 3.	Bibliotēku fondu pilnveide.
 Projekts tiks īstenots laika periodā no 2009.gada aprīļa līdz 2010.gada septembrim (18 mēneši) Projekta kopīgās izmaksas – 196784 LVL, tai skaitā 167266,40 LVL ERAF , 29517,60 LVL pašvaldības finansējums.
 ",196784,167266,0,18
76,"Salacgrīvas novada Liepupes pagasta pārvalde","""Mežgravas"", Liepupes pagasts, Salacgrīvas novads, LV-4023",,"Kvalitatīvai dabaszinātņu un matemātikas apguvei atbilstošas materiālās bāzes nodrošināšana Limbažu rajona Liepupes vidusskolā","Rīgas reģions, ",16/02/2009,"Lai Liepupes vidusskolā radikāli uzlabotu iespējas izglītojamajiem kvalitatīvi apgūt dabaszinātņu un matemātikas mācību priekšmetus, pilnībā izpildot mācību standartus un programmas, īpaša nozīme ir  mācāmās vielas pilnīgai satura izpratnei. To var panākt, darbā pielietojot mūsdienīgu mācību aprīkojumu – īpaši strādājot ar jaunākajām tehnoloģijām un zinātniskajām metodēm, veicot praktisku darbošanos un demonstrējumus. Tā kā Liepupes vidusskolā minēto mācību priekšmetu apguvē ar nelieliem papildinājumiem tiek izmantotas iekārtas, kuras iegādātas, atklājot skolu 1981.gadā, ir galēja nepieciešamība izmaiņām, lai būtu radīti priekšnosacījumi šo valstī prioritāro mācību priekšmetu kvalitatīvai apguvei.
 Tādēļ skola sadarbībā ar Liepupes pagasta pašvaldību plāno veikt šādas darbības:
 •	modernizēt un pilnveidot materiāli tehnisko bāzi (iekārtas, aprīkojums, tehnoloģijas, datortehnika, programmatūra, datu bāzes) ķīmijas, fizikas, bioloģijas un matemātikas kabinetos;
 •	izveidot darbavietas darbam ar datoriem prioritārajos priekšmetos;
 •	veikt prioritāro zinātņu kabinetos telpu remontdarbus, kas saistīti ar mācību aprīkojuma uzstādīšanu, ventilācijas, ugunsdrošības, ūdensapgādes un elektroapgādes sistēmu uzstādīšanu, kabinetu un laboratoriju remontiem;
 •	pilnveidot bibliotēku, mācību video un fonotēku fondus.
 ",98392,83633,0,22
77,"Babītes novada pašvaldība","Centra iela 4, Piņķi, Babītes pagasts, Babītes novads, LV-2107",,"Kvalitatīvai dabaszinātņu apguvei atbilstošās materiālās bāzes nodrošināšana Babītes vidusskolā
 ","Rīgas reģions, ",16/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes:
 1.Publicitātes pasākumi;
 2.Telpu renovācija;
 3.Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 3.1. 25 darbavietu darbam ar datoru izveide;
 3.2. Kvalitatīvas ķīmijas apguvei nepieciešamās materiālās bāzes nodrošināšana;
 3.3. Kvalitatīvas bioloģijas apguvei nepieciešamās materiālās bāzes nodrošināšana;
 3.4. Kvalitatīvas fizikas apguvei nepieciešamās materiālās bāzes nodrošināšana; 
 3.5. Kvalitatīvas matemātikas apguvei nepieciešamās materiālās bāzes nodrošināšana.
 4. Mēbeļu iegāde un uzstādīšana optimālai darba organizācijai dabaszinātņu priekšmetu apguves procesā.
 ",98392,83633,0,19
78,"Ķeguma novada dome","Lāčplēša iela 1, Ķegums, Ķeguma novads, LV-5020",,"Kvalitatīvai dabaszinību apguvei atbilstošas materiālās bāzes nodrošināšana Ķeguma komercnovirziena vidusskolā","Vidzeme, ",27/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Ķeguma komercnovirziena vidusskolā ir plānots veikt šādas aktivitātes:
 1.	Atsevišķu mācībām paredzēto telpu renovācija.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana (centralizētais iepirkums):
 	izveidotas 25 darba vietas darbam ar datoru prioritārajos priekšmetos;
 	izglītības programmas ķīmijā īstenošanai;
 	izglītības programmas fizikā īstenošanai;
 	izglītības programmas bioloģijā īstenošanai;
 	izglītības programmas matemātikā īstenošanai;
 	mācību materiālu un mācību programmatūras iegāde.
 3.	Bibliotēkas fondu pilnveide.
 4.	Mēbeļu iegāde.",98392,83633,0,18
79,"Naukšēnu novada pašvaldība","""Pagasta nams"", Naukšēnu pagasts, Naukšēnu novads, LV-4244",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Naukšēnu vidusskolā
 ","Vidzeme, ",27/02/2009,"Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmija, bioloģija, fizika) un matemātikas (turpmāk – prioritārie priekšmeti) apguves iespējas un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros Naukšēnu vidusskolā paredzēts veikt šādas aktivitātes:
 
 1. Telpu renovācija. 
 
 2. Iekārtu, piederumu, tehnoloģiju, aprīkojuma, iegāde un uzstādīšana:
 2.1. materiāli tehniskās pamatbāzes izveide;
 2.2. aprīkojuma iegāde;
 
 3. Bibliotēku fondu pilnveide. 
  
 Projekts tiks īstenots Valmieras rajona Naukšēnu vidusskolā, 2009. gadā.
 Kopējais finansējuma apmērs 98 392 Ls.
 ",98392,83633,0,20
80,"Alūksnes novada pašvaldība","Dārza iela 11, Alūksne, Alūksnes novads, LV-4301",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Alūksnes rajona vakara (maiņu) un neklātienes vidusskolā","Vidzeme, ",27/02/2009," Lai nodrošinātu kvalitatīvas dabaszinātņu (ķīmijas, bioloģijas, fizikas) un matemātikas apguves iespējas un radītu priekšnosacījumus valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta „Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Alūksnes rajona vakara (maiņu) un neklātienes vidusskolā” ietvaros plānots veikt šādas aktivitātes:
 1.	Telpu remonts, vilkmes skapja uzstādīšana.
 2.	Iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana:
 2.1	darbavietu darbam ar datoru izveide;
 2.2	materiāli tehniskās bāzes izveide;
 2.3	aprīkojuma iegāde;  
 2.4	aprīkojuma uzstādīšana un tehniskās ekspluatācijas apmācību organizēšana.
 3.	Bibliotēku fondu pilnveide.
 Prioritāro priekšmetu standartu un mācību programmu realizēšanai nav pirkti datori. Materiāli  tehniskā  bāze ir fiziski nolietojusies, esošās ierīces laboratorijas darbu un demonstrējumu veikšanai neatbilst mūsdienu prasībām.
 Fizikas un ķīmijas eksāmenu kārto mazs skolēnu skaits. 12.klases matemātikas eksāmenā uzrādītais optimālais līmenis ir zems.
 Projekts tiks īstenots Alūksnes rajona vakara(maiņu) un neklātienes vidusskolā. 
 Projekta īstenošanas ilgums ir 24 mēneši.  
 Kopējais projekta finansējums 98 392 Ls 
 ",98392,83633,0,19
81,"Ikšķiles novada dome","Strēlnieku iela 10, Ikšķile, Ikšķiles novads, Ogres rajons, LV-5052",,"Kvalitatīvai dabaszinātņu apguvei atbilstošas materiālās bāzes nodrošināšana Ogres rajona Ikšķiles vidusskolā","Rīgas reģions, ",16/02/2009,"Lai nodrošinātu vispārējās vidējās izglītības programmu grupu – dabaszinības (ķīmija, fizika un bioloģija) un matemātika (turpmāk – prioritārās izglītības programmas) – īstenošanu un radītu priekšnosacījumu valsts attīstībai zinātņu un tehnoloģiju ietilpīgajās nozarēs, projekta ietvaros plānots veikt šādas aktivitātes Ikšķiles vidusskolā:  
 1) telpu renovācija;
 2) iekārtu, piederumu, aprīkojuma, tehnoloģiju iegāde un uzstādīšana prioritāro izglītības programmu īstenošanai: 
 - materiāli tehniskās bāzes izveide (IZM centralizētais iepirkums);
 - mēbeļu iegāde (pašvaldības organizētais iepirkums).
 Projekta īstenošanas īstenošanas periods ir no 2009.gada 1.aprīļa līdz 2010.gada 31.decembrim (21 mēnesis). Projekta kopējās izmaksas ir 100 835 Ls, no kurām attiecināmās izmaksas - 98 392 Ls, bet neattiecināmās – 2443 Ls.
 ",98392,83633,0,21
